,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp,windDirection_x,windDirection_y,windSpeed_knots
0,0,-1.1111111111111112,59,43,7,2023-10-25 09:00:00+00:00,0.0,-1.0,6
1,0,-1.1111111111111112,60,43,6,2023-10-25 10:00:00+00:00,0.0,-1.0,5
2,0,-1.1111111111111112,60,43,6,2023-10-25 11:00:00+00:00,0.0,-1.0,5
3,0,-1.1111111111111112,61,43,6,2023-10-25 12:00:00+00:00,0.0,-1.0,5
4,0,-1.1111111111111112,59,44,6,2023-10-25 13:00:00+00:00,0.0,-1.0,5
5,0,-0.5555555555555556,55,46,6,2023-10-25 14:00:00+00:00,0.0,-1.0,5
6,0,-0.5555555555555556,42,54,7,2023-10-25 15:00:00+00:00,0.0,-1.0,6
7,0,-0.5555555555555556,35,59,7,2023-10-25 16:00:00+00:00,0.0,-1.0,6
8,0,0.0,30,64,7,2023-10-25 17:00:00+00:00,0.0,-1.0,6
9,0,0.0,28,66,7,2023-10-25 18:00:00+00:00,0.0,-1.0,6
10,0,0.5555555555555556,28,67,7,2023-10-25 19:00:00+00:00,0.0,-1.0,6
11,0,2.2222222222222223,30,68,6,2023-10-25 20:00:00+00:00,0.0,-1.0,5
12,0,2.7777777777777777,35,66,8,2023-10-25 21:00:00+00:00,0.0,-1.0,7
13,0,3.3333333333333335,38,64,7,2023-10-25 22:00:00+00:00,0.0,-1.0,6
14,0,3.3333333333333335,43,61,6,2023-10-25 23:00:00+00:00,0.0,-1.0,5
15,0,3.888888888888889,56,55,6,2023-10-26 00:00:00+00:00,0.0,-1.0,5
16,0,4.444444444444445,63,52,3,2023-10-26 01:00:00+00:00,0.0,-1.0,3
17,0,4.444444444444445,69,50,5,2023-10-26 02:00:00+00:00,0.0,-1.0,4
18,0,5.555555555555555,75,49,5,2023-10-26 03:00:00+00:00,0.0,-1.0,4
19,0,6.111111111111111,81,49,5,2023-10-26 04:00:00+00:00,0.0,-1.0,4
