,windDirection,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp
0,W,0,9.444444444444445,68,59,6,2023-11-08 01:00:00+00:00
1,W,0,8.88888888888889,75,56,6,2023-11-08 02:00:00+00:00
2,NW,0,8.88888888888889,78,55,7,2023-11-08 03:00:00+00:00
3,NW,1,8.88888888888889,81,54,7,2023-11-08 04:00:00+00:00
4,NW,2,9.444444444444445,85,53,6,2023-11-08 05:00:00+00:00
5,NW,2,9.444444444444445,88,52,6,2023-11-08 06:00:00+00:00
6,NW,2,9.444444444444445,91,52,6,2023-11-08 07:00:00+00:00
7,NW,2,9.444444444444445,92,51,5,2023-11-08 08:00:00+00:00
8,W,2,9.444444444444445,94,51,5,2023-11-08 09:00:00+00:00
9,W,1,9.444444444444445,94,50,5,2023-11-08 10:00:00+00:00
10,W,1,9.444444444444445,98,49,5,2023-11-08 11:00:00+00:00
11,W,1,9.444444444444445,100,49,5,2023-11-08 12:00:00+00:00
