,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp,windDirection_x,windDirection_y
0,17,3.3333333333333335,92,40,3,2023-10-31 15:00:00+00:00,0.0,1.0
1,15,3.888888888888889,92,41,3,2023-10-31 16:00:00+00:00,0.7071067811865476,-0.7071067811865476
2,12,3.888888888888889,90,42,3,2023-10-31 17:00:00+00:00,0.0,-1.0
3,8,3.888888888888889,89,42,3,2023-10-31 18:00:00+00:00,-1.0,0.0
4,7,4.444444444444445,86,44,5,2023-10-31 19:00:00+00:00,-1.0,0.0
5,5,4.444444444444445,86,44,7,2023-10-31 20:00:00+00:00,-1.0,0.0
6,4,3.888888888888889,83,44,8,2023-10-31 21:00:00+00:00,-1.0,0.0
7,3,3.3333333333333335,83,43,9,2023-10-31 22:00:00+00:00,-1.0,0.0
8,3,2.2222222222222223,81,42,10,2023-10-31 23:00:00+00:00,-1.0,0.0
9,3,1.6666666666666667,84,39,12,2023-11-01 00:00:00+00:00,-0.7071067811865476,0.7071067811865476
10,2,1.1111111111111112,86,37,14,2023-11-01 01:00:00+00:00,-1.0,0.0
11,2,-0.5555555555555556,82,36,16,2023-11-01 02:00:00+00:00,-0.7071067811865476,0.7071067811865476
12,1,-1.6666666666666667,81,34,18,2023-11-01 03:00:00+00:00,-0.7071067811865476,0.7071067811865476
13,1,-2.7777777777777777,79,33,20,2023-11-01 04:00:00+00:00,-0.7071067811865476,0.7071067811865476
14,1,-3.888888888888889,80,31,21,2023-11-01 05:00:00+00:00,-0.7071067811865476,0.7071067811865476
15,1,-4.444444444444445,79,29,23,2023-11-01 06:00:00+00:00,-0.7071067811865476,0.7071067811865476
16,1,-5.555555555555555,77,28,24,2023-11-01 07:00:00+00:00,-0.7071067811865476,0.7071067811865476
17,1,-6.666666666666667,78,26,25,2023-11-01 08:00:00+00:00,-0.7071067811865476,0.7071067811865476
18,1,-7.777777777777778,76,24,24,2023-11-01 09:00:00+00:00,-0.7071067811865476,0.7071067811865476
19,1,-8.88888888888889,73,23,25,2023-11-01 10:00:00+00:00,-0.7071067811865476,0.7071067811865476
20,1,-9.444444444444445,74,22,24,2023-11-01 11:00:00+00:00,-0.7071067811865476,0.7071067811865476
21,1,-10.0,76,21,23,2023-11-01 12:00:00+00:00,-0.7071067811865476,0.7071067811865476
22,1,-10.555555555555555,72,20,23,2023-11-01 13:00:00+00:00,-0.7071067811865476,0.7071067811865476
23,1,-10.0,76,20,23,2023-11-01 14:00:00+00:00,-0.7071067811865476,0.7071067811865476
24,1,-9.444444444444445,71,24,22,2023-11-01 15:00:00+00:00,-0.7071067811865476,0.7071067811865476
25,1,-8.88888888888889,63,27,20,2023-11-01 16:00:00+00:00,-0.7071067811865476,0.7071067811865476
26,1,-9.444444444444445,53,30,18,2023-11-01 17:00:00+00:00,-0.7071067811865476,0.7071067811865476
27,1,-9.444444444444445,47,33,17,2023-11-01 18:00:00+00:00,-0.7071067811865476,0.7071067811865476
28,0,-9.444444444444445,43,35,16,2023-11-01 19:00:00+00:00,-0.7071067811865476,0.7071067811865476
29,0,-9.444444444444445,41,37,15,2023-11-01 20:00:00+00:00,-0.7071067811865476,0.7071067811865476
30,0,-9.444444444444445,40,37,15,2023-11-01 21:00:00+00:00,-0.7071067811865476,0.7071067811865476
31,0,-9.444444444444445,41,36,15,2023-11-01 22:00:00+00:00,-0.7071067811865476,0.7071067811865476
32,0,-9.444444444444445,44,35,14,2023-11-01 23:00:00+00:00,-0.7071067811865476,0.7071067811865476
33,0,-9.444444444444445,49,32,14,2023-11-02 00:00:00+00:00,-0.7071067811865476,0.7071067811865476
34,0,-8.88888888888889,54,30,13,2023-11-02 01:00:00+00:00,-0.7071067811865476,0.7071067811865476
35,0,-8.88888888888889,59,28,10,2023-11-02 02:00:00+00:00,-0.7071067811865476,0.7071067811865476
36,0,-9.444444444444445,62,26,8,2023-11-02 03:00:00+00:00,-0.7071067811865476,0.7071067811865476
37,0,-9.444444444444445,65,25,7,2023-11-02 04:00:00+00:00,-0.7071067811865476,0.7071067811865476
38,0,-9.444444444444445,68,24,6,2023-11-02 05:00:00+00:00,-0.7071067811865476,0.7071067811865476
39,0,-9.444444444444445,71,23,5,2023-11-02 06:00:00+00:00,-0.7071067811865476,0.7071067811865476
40,0,-9.444444444444445,72,23,5,2023-11-02 07:00:00+00:00,-0.7071067811865476,0.7071067811865476
41,0,-9.444444444444445,73,22,3,2023-11-02 08:00:00+00:00,-0.7071067811865476,0.7071067811865476
42,0,-9.444444444444445,73,22,3,2023-11-02 09:00:00+00:00,-0.7071067811865476,0.7071067811865476
43,0,-9.444444444444445,73,22,2,2023-11-02 10:00:00+00:00,-0.7071067811865476,0.7071067811865476
44,0,-10.0,74,21,1,2023-11-02 11:00:00+00:00,-0.7071067811865476,0.7071067811865476
45,0,-10.555555555555555,74,20,0,2023-11-02 12:00:00+00:00,-0.7071067811865476,0.7071067811865476
46,0,-10.555555555555555,69,22,0,2023-11-02 13:00:00+00:00,-0.7071067811865476,0.7071067811865476
47,0,-10.555555555555555,57,26,1,2023-11-02 14:00:00+00:00,-1.0,0.0
48,0,-10.0,45,32,2,2023-11-02 15:00:00+00:00,-0.7071067811865476,-0.7071067811865476
49,0,-9.444444444444445,37,38,5,2023-11-02 16:00:00+00:00,0.0,-1.0
50,0,-9.444444444444445,32,43,5,2023-11-02 17:00:00+00:00,0.0,-1.0
51,0,-8.88888888888889,29,46,6,2023-11-02 18:00:00+00:00,0.0,-1.0
52,0,-8.88888888888889,29,47,6,2023-11-02 19:00:00+00:00,0.0,-1.0
53,0,-7.777777777777778,30,48,6,2023-11-02 20:00:00+00:00,0.0,-1.0
54,0,-7.222222222222222,32,47,6,2023-11-02 21:00:00+00:00,0.0,-1.0
55,0,-6.666666666666667,37,45,6,2023-11-02 22:00:00+00:00,0.0,-1.0
56,0,-6.111111111111111,43,41,6,2023-11-02 23:00:00+00:00,0.0,-1.0
57,0,-6.111111111111111,51,37,6,2023-11-03 00:00:00+00:00,0.0,-1.0
58,0,-6.111111111111111,60,33,6,2023-11-03 01:00:00+00:00,0.0,-1.0
59,0,-6.111111111111111,64,31,6,2023-11-03 02:00:00+00:00,0.0,-1.0
60,0,-6.666666666666667,66,30,6,2023-11-03 03:00:00+00:00,0.0,-1.0
61,0,-6.666666666666667,67,30,6,2023-11-03 04:00:00+00:00,0.0,-1.0
62,0,-6.666666666666667,68,29,6,2023-11-03 05:00:00+00:00,-0.7071067811865476,-0.7071067811865476
63,0,-7.222222222222222,69,28,6,2023-11-03 06:00:00+00:00,-0.7071067811865476,-0.7071067811865476
64,0,-7.222222222222222,68,28,6,2023-11-03 07:00:00+00:00,-0.7071067811865476,-0.7071067811865476
65,0,-7.222222222222222,67,28,5,2023-11-03 08:00:00+00:00,-1.0,0.0
66,0,-7.222222222222222,66,29,5,2023-11-03 09:00:00+00:00,-1.0,0.0
67,0,-7.777777777777778,64,29,5,2023-11-03 10:00:00+00:00,-1.0,0.0
68,0,-8.333333333333334,63,28,5,2023-11-03 11:00:00+00:00,-1.0,0.0
69,0,-8.333333333333334,62,28,3,2023-11-03 12:00:00+00:00,-0.7071067811865476,0.7071067811865476
70,0,-8.333333333333334,59,30,3,2023-11-03 13:00:00+00:00,-0.7071067811865476,0.7071067811865476
71,0,-7.222222222222222,52,35,3,2023-11-03 14:00:00+00:00,-1.0,0.0
72,0,-5.555555555555555,45,41,5,2023-11-03 15:00:00+00:00,-0.7071067811865476,-0.7071067811865476
73,0,-4.444444444444445,39,48,6,2023-11-03 16:00:00+00:00,0.0,-1.0
74,0,-3.888888888888889,35,52,6,2023-11-03 17:00:00+00:00,0.0,-1.0
75,0,-3.888888888888889,32,54,7,2023-11-03 18:00:00+00:00,0.0,-1.0
76,0,-3.888888888888889,31,55,7,2023-11-03 19:00:00+00:00,0.0,-1.0
77,0,-3.3333333333333335,31,55,8,2023-11-03 20:00:00+00:00,0.0,-1.0
78,0,-3.3333333333333335,34,54,8,2023-11-03 21:00:00+00:00,0.0,-1.0
79,0,-2.7777777777777777,37,52,8,2023-11-03 22:00:00+00:00,0.0,-1.0
80,0,-3.3333333333333335,42,48,8,2023-11-03 23:00:00+00:00,0.0,-1.0
81,0,-3.3333333333333335,49,44,8,2023-11-04 00:00:00+00:00,0.0,-1.0
82,0,-3.888888888888889,55,40,7,2023-11-04 01:00:00+00:00,0.0,-1.0
83,0,-3.888888888888889,59,38,7,2023-11-04 02:00:00+00:00,0.0,-1.0
84,0,-3.888888888888889,61,37,7,2023-11-04 03:00:00+00:00,-0.7071067811865476,-0.7071067811865476
85,0,-4.444444444444445,61,36,6,2023-11-04 04:00:00+00:00,-0.7071067811865476,-0.7071067811865476
86,0,-4.444444444444445,61,36,6,2023-11-04 05:00:00+00:00,-0.7071067811865476,-0.7071067811865476
87,0,-5.0,61,35,6,2023-11-04 06:00:00+00:00,-0.7071067811865476,-0.7071067811865476
88,0,-5.555555555555555,61,35,6,2023-11-04 07:00:00+00:00,-0.7071067811865476,-0.7071067811865476
89,0,-5.555555555555555,61,34,6,2023-11-04 08:00:00+00:00,-1.0,0.0
90,0,-5.555555555555555,61,34,6,2023-11-04 09:00:00+00:00,-1.0,0.0
91,0,-6.111111111111111,61,33,6,2023-11-04 10:00:00+00:00,-1.0,0.0
92,0,-6.666666666666667,60,33,6,2023-11-04 11:00:00+00:00,-1.0,0.0
93,0,-7.222222222222222,57,33,6,2023-11-04 12:00:00+00:00,-0.7071067811865476,0.7071067811865476
94,0,-7.222222222222222,53,34,6,2023-11-04 13:00:00+00:00,-0.7071067811865476,0.7071067811865476
95,0,-6.111111111111111,47,40,7,2023-11-04 14:00:00+00:00,-0.7071067811865476,0.7071067811865476
96,0,-4.444444444444445,42,46,7,2023-11-04 15:00:00+00:00,-1.0,0.0
97,0,-2.7777777777777777,37,52,7,2023-11-04 16:00:00+00:00,-1.0,0.0
98,0,-2.2222222222222223,33,56,8,2023-11-04 17:00:00+00:00,-1.0,0.0
99,0,-2.2222222222222223,31,59,8,2023-11-04 18:00:00+00:00,-1.0,0.0
100,2,-1.6666666666666667,30,60,8,2023-11-04 19:00:00+00:00,-0.7071067811865476,-0.7071067811865476
101,2,-1.1111111111111112,31,60,9,2023-11-04 20:00:00+00:00,-0.7071067811865476,-0.7071067811865476
102,2,-0.5555555555555556,34,59,9,2023-11-04 21:00:00+00:00,-0.7071067811865476,-0.7071067811865476
103,2,-0.5555555555555556,38,57,9,2023-11-04 22:00:00+00:00,-0.7071067811865476,-0.7071067811865476
104,2,-0.5555555555555556,43,53,8,2023-11-04 23:00:00+00:00,-0.7071067811865476,-0.7071067811865476
105,2,-1.1111111111111112,49,48,8,2023-11-05 00:00:00+00:00,-1.0,0.0
106,3,-1.1111111111111112,56,45,7,2023-11-05 01:00:00+00:00,-1.0,0.0
107,3,-1.1111111111111112,59,43,7,2023-11-05 02:00:00+00:00,-1.0,0.0
108,3,-1.1111111111111112,61,42,7,2023-11-05 03:00:00+00:00,-1.0,0.0
109,3,-1.1111111111111112,61,42,7,2023-11-05 04:00:00+00:00,-1.0,0.0
110,3,-1.1111111111111112,63,41,7,2023-11-05 05:00:00+00:00,-1.0,0.0
111,3,-1.1111111111111112,63,41,7,2023-11-05 06:00:00+00:00,-1.0,0.0
112,7,-1.1111111111111112,64,41,7,2023-11-05 07:00:00+00:00,-1.0,0.0
113,7,-1.1111111111111112,65,41,7,2023-11-05 08:00:00+00:00,-1.0,0.0
114,7,-1.1111111111111112,66,41,7,2023-11-05 09:00:00+00:00,-0.7071067811865476,0.7071067811865476
115,7,-1.1111111111111112,67,40,7,2023-11-05 10:00:00+00:00,-0.7071067811865476,0.7071067811865476
116,7,-0.5555555555555556,70,40,7,2023-11-05 11:00:00+00:00,-0.7071067811865476,0.7071067811865476
117,7,-0.5555555555555556,73,39,7,2023-11-05 12:00:00+00:00,-0.7071067811865476,0.7071067811865476
118,7,0.0,73,40,7,2023-11-05 13:00:00+00:00,-0.7071067811865476,0.7071067811865476
119,7,1.1111111111111112,70,43,7,2023-11-05 14:00:00+00:00,-0.7071067811865476,0.7071067811865476
120,7,2.2222222222222223,64,48,8,2023-11-05 15:00:00+00:00,-1.0,0.0
121,7,3.3333333333333335,60,52,8,2023-11-05 16:00:00+00:00,-1.0,0.0
122,7,4.444444444444445,56,55,9,2023-11-05 17:00:00+00:00,-1.0,0.0
123,7,4.444444444444445,52,58,10,2023-11-05 18:00:00+00:00,-1.0,0.0
124,6,5.0,51,59,10,2023-11-05 19:00:00+00:00,-1.0,0.0
125,6,5.0,52,59,10,2023-11-05 20:00:00+00:00,-1.0,0.0
126,6,5.0,55,58,10,2023-11-05 21:00:00+00:00,-1.0,0.0
127,6,5.0,59,55,9,2023-11-05 22:00:00+00:00,-1.0,0.0
128,6,5.0,65,52,9,2023-11-05 23:00:00+00:00,-1.0,0.0
129,6,4.444444444444445,71,49,9,2023-11-06 00:00:00+00:00,-0.7071067811865476,0.7071067811865476
130,7,4.444444444444445,78,46,9,2023-11-06 01:00:00+00:00,-0.7071067811865476,0.7071067811865476
131,7,4.444444444444445,81,45,8,2023-11-06 02:00:00+00:00,-0.7071067811865476,0.7071067811865476
132,7,3.888888888888889,83,44,8,2023-11-06 03:00:00+00:00,-0.7071067811865476,0.7071067811865476
133,7,3.888888888888889,84,44,8,2023-11-06 04:00:00+00:00,-0.7071067811865476,0.7071067811865476
134,7,3.888888888888889,85,43,7,2023-11-06 05:00:00+00:00,-0.7071067811865476,0.7071067811865476
135,7,3.3333333333333335,84,43,7,2023-11-06 06:00:00+00:00,-1.0,0.0
