,number,name,startTime,endTime,isDaytime,temperature,temperatureUnit,temperatureTrend,probabilityOfPrecipitation,dewpoint,relativeHumidity,windSpeed,windDirection,icon,shortForecast,detailedForecast
0,1,,2023-11-05T05:00:00-05:00,2023-11-05T06:00:00-05:00,False,40,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -2.2222222222222223}","{'unitCode': 'wmoUnit:percent', 'value': 62}",9 mph,NW,"https://api.weather.gov/icons/land/night/bkn,1?size=small",Mostly Cloudy,
1,2,,2023-11-05T06:00:00-05:00,2023-11-05T07:00:00-05:00,True,41,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -1.6666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 62}",9 mph,NW,"https://api.weather.gov/icons/land/day/bkn,1?size=small",Partly Sunny,
2,3,,2023-11-05T07:00:00-05:00,2023-11-05T08:00:00-05:00,True,41,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 67}",8 mph,NW,"https://api.weather.gov/icons/land/day/bkn,0?size=small",Partly Sunny,
3,4,,2023-11-05T08:00:00-05:00,2023-11-05T09:00:00-05:00,True,42,F,,"{'unitCode': 'wmoUnit:percent', 'value': 3}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 68}",9 mph,NW,"https://api.weather.gov/icons/land/day/bkn,3?size=small",Partly Sunny,
4,5,,2023-11-05T09:00:00-05:00,2023-11-05T10:00:00-05:00,True,47,F,,"{'unitCode': 'wmoUnit:percent', 'value': 2}","{'unitCode': 'wmoUnit:degC', 'value': 1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 61}",12 mph,NW,"https://api.weather.gov/icons/land/day/sct,2?size=small",Mostly Sunny,
5,6,,2023-11-05T10:00:00-05:00,2023-11-05T11:00:00-05:00,True,52,F,,"{'unitCode': 'wmoUnit:percent', 'value': 2}","{'unitCode': 'wmoUnit:degC', 'value': 2.2222222222222223}","{'unitCode': 'wmoUnit:percent', 'value': 56}",12 mph,NW,"https://api.weather.gov/icons/land/day/few,2?size=small",Sunny,
6,7,,2023-11-05T11:00:00-05:00,2023-11-05T12:00:00-05:00,True,56,F,,"{'unitCode': 'wmoUnit:percent', 'value': 2}","{'unitCode': 'wmoUnit:degC', 'value': 2.7777777777777777}","{'unitCode': 'wmoUnit:percent', 'value': 49}",12 mph,NW,"https://api.weather.gov/icons/land/day/few,2?size=small",Sunny,
7,8,,2023-11-05T12:00:00-05:00,2023-11-05T13:00:00-05:00,True,58,F,,"{'unitCode': 'wmoUnit:percent', 'value': 2}","{'unitCode': 'wmoUnit:degC', 'value': 2.7777777777777777}","{'unitCode': 'wmoUnit:percent', 'value': 47}",10 mph,NW,"https://api.weather.gov/icons/land/day/few,2?size=small",Sunny,
8,9,,2023-11-05T13:00:00-05:00,2023-11-05T14:00:00-05:00,True,59,F,,"{'unitCode': 'wmoUnit:percent', 'value': 2}","{'unitCode': 'wmoUnit:degC', 'value': 2.7777777777777777}","{'unitCode': 'wmoUnit:percent', 'value': 45}",9 mph,NW,"https://api.weather.gov/icons/land/day/skc,2?size=small",Sunny,
9,10,,2023-11-05T14:00:00-05:00,2023-11-05T15:00:00-05:00,True,60,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': 2.7777777777777777}","{'unitCode': 'wmoUnit:percent', 'value': 42}",9 mph,NW,"https://api.weather.gov/icons/land/day/skc,1?size=small",Sunny,
