,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp,windDirection_x,windDirection_y
0,1,1.6666666666666667,92,37,5,2023-11-11 12:00:00+00:00,0.0,1.0
1,0,0.5555555555555556,86,37,5,2023-11-11 13:00:00+00:00,0.0,1.0
2,0,0.5555555555555556,79,38,6,2023-11-11 14:00:00+00:00,0.0,1.0
3,0,0.0,73,40,7,2023-11-11 15:00:00+00:00,0.0,1.0
4,0,0.0,62,44,7,2023-11-11 16:00:00+00:00,0.0,1.0
5,0,-0.5555555555555556,53,47,6,2023-11-11 17:00:00+00:00,0.0,1.0
6,0,-1.1111111111111112,47,49,6,2023-11-11 18:00:00+00:00,0.7071067811865476,0.7071067811865476
7,0,-1.6666666666666667,42,51,5,2023-11-11 19:00:00+00:00,0.7071067811865476,0.7071067811865476
8,0,-2.2222222222222223,40,52,5,2023-11-11 20:00:00+00:00,0.7071067811865476,0.7071067811865476
9,0,-2.2222222222222223,41,51,5,2023-11-11 21:00:00+00:00,0.7071067811865476,0.7071067811865476
10,0,-1.6666666666666667,43,50,5,2023-11-11 22:00:00+00:00,0.7071067811865476,0.7071067811865476
11,0,-1.1111111111111112,50,47,5,2023-11-11 23:00:00+00:00,0.7071067811865476,0.7071067811865476
12,0,-1.1111111111111112,59,44,5,2023-11-12 00:00:00+00:00,1.0,0.0
13,0,-0.5555555555555556,66,42,5,2023-11-12 01:00:00+00:00,0.7071067811865476,0.7071067811865476
14,0,0.0,73,39,2,2023-11-12 02:00:00+00:00,1.0,0.0
15,0,0.0,75,39,5,2023-11-12 03:00:00+00:00,1.0,0.0
16,0,-0.5555555555555556,78,38,5,2023-11-12 04:00:00+00:00,1.0,0.0
17,0,-0.5555555555555556,78,37,5,2023-11-12 05:00:00+00:00,1.0,0.0
18,0,-1.1111111111111112,78,36,2,2023-11-12 06:00:00+00:00,1.0,0.0
19,8,-1.1111111111111112,77,36,6,2023-11-12 07:00:00+00:00,1.0,0.0
20,8,-1.1111111111111112,78,36,6,2023-11-12 08:00:00+00:00,1.0,0.0
21,8,-1.1111111111111112,77,36,6,2023-11-12 09:00:00+00:00,1.0,0.0
22,10,-1.1111111111111112,79,36,6,2023-11-12 10:00:00+00:00,1.0,0.0
23,6,-1.1111111111111112,80,36,5,2023-11-12 11:00:00+00:00,1.0,0.0
24,13,-1.1111111111111112,85,34,6,2023-11-12 12:00:00+00:00,1.0,0.0
25,23,-0.5555555555555556,85,35,2,2023-11-12 13:00:00+00:00,0.7071067811865476,0.7071067811865476
26,21,0.0,84,36,2,2023-11-12 14:00:00+00:00,0.7071067811865476,0.7071067811865476
27,20,1.1111111111111112,79,39,3,2023-11-12 15:00:00+00:00,1.0,0.0
28,18,1.1111111111111112,74,42,3,2023-11-12 16:00:00+00:00,1.0,0.0
29,14,1.6666666666666667,67,45,5,2023-11-12 17:00:00+00:00,0.0,-1.0
30,11,1.6666666666666667,60,48,5,2023-11-12 18:00:00+00:00,-1.0,0.0
31,7,1.1111111111111112,56,49,5,2023-11-12 19:00:00+00:00,-1.0,0.0
32,7,1.1111111111111112,54,50,6,2023-11-12 20:00:00+00:00,-1.0,0.0
33,7,1.6666666666666667,55,50,6,2023-11-12 21:00:00+00:00,-1.0,0.0
34,7,1.6666666666666667,58,49,5,2023-11-12 22:00:00+00:00,-0.7071067811865476,-0.7071067811865476
35,5,1.6666666666666667,63,47,5,2023-11-12 23:00:00+00:00,-0.7071067811865476,-0.7071067811865476
36,2,1.6666666666666667,71,44,3,2023-11-13 00:00:00+00:00,0.0,-1.0
37,0,1.6666666666666667,79,41,2,2023-11-13 01:00:00+00:00,0.0,-1.0
38,0,1.6666666666666667,83,40,1,2023-11-13 02:00:00+00:00,0.0,-1.0
39,0,1.6666666666666667,86,39,1,2023-11-13 03:00:00+00:00,0.0,-1.0
40,0,1.6666666666666667,87,38,0,2023-11-13 04:00:00+00:00,0.0,-1.0
41,0,1.1111111111111112,89,37,0,2023-11-13 05:00:00+00:00,0.0,-1.0
42,0,1.1111111111111112,90,37,0,2023-11-13 06:00:00+00:00,0.0,-1.0
43,0,1.1111111111111112,90,36,0,2023-11-13 07:00:00+00:00,-0.7071067811865476,-0.7071067811865476
44,0,0.5555555555555556,91,36,1,2023-11-13 08:00:00+00:00,-0.7071067811865476,-0.7071067811865476
45,0,0.5555555555555556,91,35,1,2023-11-13 09:00:00+00:00,-0.7071067811865476,-0.7071067811865476
46,0,0.5555555555555556,92,35,1,2023-11-13 10:00:00+00:00,-1.0,0.0
47,0,0.0,93,34,2,2023-11-13 11:00:00+00:00,-1.0,0.0
48,0,0.0,93,34,2,2023-11-13 12:00:00+00:00,-1.0,0.0
49,0,0.0,90,35,2,2023-11-13 13:00:00+00:00,-1.0,0.0
50,0,0.0,77,39,3,2023-11-13 14:00:00+00:00,-1.0,0.0
51,0,0.0,65,43,5,2023-11-13 15:00:00+00:00,-0.7071067811865476,0.7071067811865476
52,0,0.0,55,47,6,2023-11-13 16:00:00+00:00,-0.7071067811865476,0.7071067811865476
53,0,0.0,50,50,7,2023-11-13 17:00:00+00:00,-0.7071067811865476,0.7071067811865476
54,0,0.0,46,52,8,2023-11-13 18:00:00+00:00,-0.7071067811865476,0.7071067811865476
55,0,0.0,42,54,8,2023-11-13 19:00:00+00:00,-0.7071067811865476,0.7071067811865476
56,0,0.0,41,56,8,2023-11-13 20:00:00+00:00,-0.7071067811865476,0.7071067811865476
57,0,0.0,40,57,7,2023-11-13 21:00:00+00:00,-0.7071067811865476,0.7071067811865476
58,0,0.5555555555555556,41,56,7,2023-11-13 22:00:00+00:00,-0.7071067811865476,0.7071067811865476
59,0,0.5555555555555556,45,54,6,2023-11-13 23:00:00+00:00,-0.7071067811865476,0.7071067811865476
60,0,0.5555555555555556,50,51,6,2023-11-14 00:00:00+00:00,-0.7071067811865476,0.7071067811865476
61,0,0.5555555555555556,55,49,6,2023-11-14 01:00:00+00:00,-0.7071067811865476,0.7071067811865476
