,windDirection,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp
0,SW,0,11.11111111111111,70,61,5,2023-11-08 16:00:00+00:00
1,S,0,10.555555555555555,64,64,6,2023-11-08 17:00:00+00:00
2,S,0,10.555555555555555,60,65,7,2023-11-08 18:00:00+00:00
3,S,0,10.0,54,68,9,2023-11-08 19:00:00+00:00
4,S,0,10.0,51,68,9,2023-11-08 20:00:00+00:00
5,S,0,9.444444444444445,49,70,9,2023-11-08 21:00:00+00:00
6,S,0,9.444444444444445,49,69,9,2023-11-08 22:00:00+00:00
7,S,0,9.444444444444445,53,66,9,2023-11-08 23:00:00+00:00
8,S,0,9.444444444444445,57,64,7,2023-11-09 00:00:00+00:00
9,S,0,9.444444444444445,62,62,7,2023-11-09 01:00:00+00:00
10,S,0,8.88888888888889,65,60,7,2023-11-09 02:00:00+00:00
11,SW,0,8.88888888888889,68,59,7,2023-11-09 03:00:00+00:00
12,SW,0,8.88888888888889,70,58,7,2023-11-09 04:00:00+00:00
13,SW,0,8.88888888888889,72,56,7,2023-11-09 05:00:00+00:00
14,SW,0,8.333333333333334,72,56,7,2023-11-09 06:00:00+00:00
15,W,0,8.333333333333334,75,55,7,2023-11-09 07:00:00+00:00
16,W,0,7.777777777777778,75,54,8,2023-11-09 08:00:00+00:00
17,W,0,7.777777777777778,76,54,10,2023-11-09 09:00:00+00:00
18,W,0,7.777777777777778,78,53,13,2023-11-09 10:00:00+00:00
19,W,0,7.777777777777778,81,52,14,2023-11-09 11:00:00+00:00
20,W,0,8.333333333333334,87,51,15,2023-11-09 12:00:00+00:00
21,W,0,8.88888888888889,78,54,15,2023-11-09 13:00:00+00:00
22,W,1,10.0,79,55,16,2023-11-09 14:00:00+00:00
23,W,2,11.666666666666666,84,58,16,2023-11-09 15:00:00+00:00
24,W,4,12.222222222222221,77,62,17,2023-11-09 16:00:00+00:00
25,W,5,12.222222222222221,72,63,17,2023-11-09 17:00:00+00:00
26,W,6,12.777777777777779,71,65,18,2023-11-09 18:00:00+00:00
27,W,6,13.333333333333334,69,66,17,2023-11-09 19:00:00+00:00
28,W,6,13.333333333333334,72,65,16,2023-11-09 20:00:00+00:00
29,W,8,13.333333333333334,75,64,16,2023-11-09 21:00:00+00:00
30,W,10,13.333333333333334,75,64,16,2023-11-09 22:00:00+00:00
31,NW,14,12.777777777777779,80,62,15,2023-11-09 23:00:00+00:00
32,NW,18,12.777777777777779,87,58,14,2023-11-10 00:00:00+00:00
33,NW,20,12.222222222222221,91,57,13,2023-11-10 01:00:00+00:00
34,NW,22,12.222222222222221,93,56,12,2023-11-10 02:00:00+00:00
35,NW,22,12.222222222222221,95,55,10,2023-11-10 03:00:00+00:00
36,NW,22,12.222222222222221,96,55,10,2023-11-10 04:00:00+00:00
37,NW,24,11.666666666666666,95,54,9,2023-11-10 05:00:00+00:00
38,NW,31,11.11111111111111,95,53,8,2023-11-10 06:00:00+00:00
39,NW,41,10.555555555555555,94,53,8,2023-11-10 07:00:00+00:00
40,NW,48,10.555555555555555,95,52,8,2023-11-10 08:00:00+00:00
41,NW,50,10.555555555555555,96,52,8,2023-11-10 09:00:00+00:00
42,NW,51,10.0,97,51,8,2023-11-10 10:00:00+00:00
43,NW,54,10.0,96,50,9,2023-11-10 11:00:00+00:00
44,NW,59,9.444444444444445,97,49,9,2023-11-10 12:00:00+00:00
45,NW,63,8.88888888888889,97,49,10,2023-11-10 13:00:00+00:00
46,NW,66,8.88888888888889,97,49,9,2023-11-10 14:00:00+00:00
47,NW,67,9.444444444444445,95,50,9,2023-11-10 15:00:00+00:00
48,NW,66,9.444444444444445,95,50,9,2023-11-10 16:00:00+00:00
49,NW,63,9.444444444444445,94,50,9,2023-11-10 17:00:00+00:00
50,NW,58,8.88888888888889,93,50,8,2023-11-10 18:00:00+00:00
51,NW,52,8.88888888888889,92,50,8,2023-11-10 19:00:00+00:00
52,NW,47,8.88888888888889,94,49,8,2023-11-10 20:00:00+00:00
53,NW,44,8.333333333333334,97,48,8,2023-11-10 21:00:00+00:00
54,NW,43,7.777777777777778,97,47,8,2023-11-10 22:00:00+00:00
55,NW,42,7.222222222222222,96,46,8,2023-11-10 23:00:00+00:00
56,NW,39,6.111111111111111,96,44,9,2023-11-11 00:00:00+00:00
57,NW,35,5.555555555555555,95,43,9,2023-11-11 01:00:00+00:00
58,NW,31,5.0,94,42,9,2023-11-11 02:00:00+00:00
59,NW,28,4.444444444444445,96,41,9,2023-11-11 03:00:00+00:00
60,NW,28,3.888888888888889,96,40,9,2023-11-11 04:00:00+00:00
61,NW,27,3.3333333333333335,94,40,9,2023-11-11 05:00:00+00:00
62,NW,27,2.7777777777777777,92,39,9,2023-11-11 06:00:00+00:00
63,NW,28,2.2222222222222223,91,38,9,2023-11-11 07:00:00+00:00
64,NW,28,1.6666666666666667,89,38,8,2023-11-11 08:00:00+00:00
65,NW,28,1.1111111111111112,90,36,8,2023-11-11 09:00:00+00:00
66,NW,28,0.5555555555555556,89,35,7,2023-11-11 10:00:00+00:00
67,NW,28,-0.5555555555555556,85,35,7,2023-11-11 11:00:00+00:00
68,N,28,-1.1111111111111112,83,35,7,2023-11-11 12:00:00+00:00
69,N,19,-1.1111111111111112,82,35,6,2023-11-11 13:00:00+00:00
70,N,19,-1.1111111111111112,75,37,6,2023-11-11 14:00:00+00:00
71,NE,19,-0.5555555555555556,66,41,6,2023-11-11 15:00:00+00:00
72,NE,19,0.0,62,44,6,2023-11-11 16:00:00+00:00
73,E,19,-0.5555555555555556,58,45,7,2023-11-11 17:00:00+00:00
74,E,19,-0.5555555555555556,52,48,7,2023-11-11 18:00:00+00:00
75,E,16,-1.1111111111111112,48,49,7,2023-11-11 19:00:00+00:00
76,E,16,-0.5555555555555556,49,49,7,2023-11-11 20:00:00+00:00
77,E,16,-0.5555555555555556,52,48,7,2023-11-11 21:00:00+00:00
78,NE,16,-0.5555555555555556,53,48,7,2023-11-11 22:00:00+00:00
79,NE,16,-0.5555555555555556,57,46,7,2023-11-11 23:00:00+00:00
80,NE,16,-0.5555555555555556,64,43,7,2023-11-12 00:00:00+00:00
81,NE,13,-0.5555555555555556,69,41,6,2023-11-12 01:00:00+00:00
82,NE,13,-0.5555555555555556,71,40,6,2023-11-12 02:00:00+00:00
83,NE,13,-0.5555555555555556,75,38,6,2023-11-12 03:00:00+00:00
84,E,13,-0.5555555555555556,78,37,6,2023-11-12 04:00:00+00:00
85,E,13,-0.5555555555555556,78,37,6,2023-11-12 05:00:00+00:00
86,E,13,-1.1111111111111112,78,36,6,2023-11-12 06:00:00+00:00
87,E,22,-1.1111111111111112,78,36,6,2023-11-12 07:00:00+00:00
88,E,22,-1.1111111111111112,78,36,7,2023-11-12 08:00:00+00:00
89,E,22,-1.1111111111111112,79,36,7,2023-11-12 09:00:00+00:00
90,E,22,-1.1111111111111112,80,35,7,2023-11-12 10:00:00+00:00
91,E,22,-1.6666666666666667,78,35,7,2023-11-12 11:00:00+00:00
92,E,22,-1.6666666666666667,78,35,7,2023-11-12 12:00:00+00:00
93,E,31,-1.6666666666666667,78,35,7,2023-11-12 13:00:00+00:00
94,E,31,-1.1111111111111112,75,37,7,2023-11-12 14:00:00+00:00
95,SE,31,-0.5555555555555556,70,40,8,2023-11-12 15:00:00+00:00
96,SE,31,0.0,68,42,9,2023-11-12 16:00:00+00:00
97,SE,31,0.5555555555555556,67,43,9,2023-11-12 17:00:00+00:00
98,SE,31,0.5555555555555556,63,45,9,2023-11-12 18:00:00+00:00
99,SE,32,1.1111111111111112,61,46,9,2023-11-12 19:00:00+00:00
100,SE,32,1.1111111111111112,62,46,8,2023-11-12 20:00:00+00:00
101,SE,32,1.1111111111111112,64,45,8,2023-11-12 21:00:00+00:00
102,SE,32,1.1111111111111112,64,45,8,2023-11-12 22:00:00+00:00
103,SE,32,0.5555555555555556,69,43,8,2023-11-12 23:00:00+00:00
104,SE,32,0.5555555555555556,77,40,8,2023-11-13 00:00:00+00:00
105,SE,26,0.5555555555555556,82,38,7,2023-11-13 01:00:00+00:00
106,SE,26,0.5555555555555556,84,37,7,2023-11-13 02:00:00+00:00
107,SE,26,0.5555555555555556,86,36,7,2023-11-13 03:00:00+00:00
108,SE,26,0.5555555555555556,88,36,6,2023-11-13 04:00:00+00:00
109,S,26,0.0,88,36,6,2023-11-13 05:00:00+00:00
110,SW,26,0.0,90,35,6,2023-11-13 06:00:00+00:00
111,SW,18,0.0,90,34,6,2023-11-13 07:00:00+00:00
112,W,18,0.0,90,34,6,2023-11-13 08:00:00+00:00
113,W,18,-0.5555555555555556,91,34,6,2023-11-13 09:00:00+00:00
114,NW,18,-0.5555555555555556,92,33,6,2023-11-13 10:00:00+00:00
115,NW,18,-1.1111111111111112,90,33,6,2023-11-13 11:00:00+00:00
116,NW,18,-1.1111111111111112,89,32,6,2023-11-13 12:00:00+00:00
117,NW,7,-1.6666666666666667,90,32,7,2023-11-13 13:00:00+00:00
118,NW,7,-1.1111111111111112,83,35,7,2023-11-13 14:00:00+00:00
119,NW,7,0.0,72,40,9,2023-11-13 15:00:00+00:00
120,NW,7,0.5555555555555556,67,43,10,2023-11-13 16:00:00+00:00
121,NW,7,0.5555555555555556,62,45,10,2023-11-13 17:00:00+00:00
122,NW,7,0.0,54,48,12,2023-11-13 18:00:00+00:00
123,NW,3,0.0,49,50,12,2023-11-13 19:00:00+00:00
124,NW,3,0.0,51,49,12,2023-11-13 20:00:00+00:00
125,NW,3,0.0,54,48,12,2023-11-13 21:00:00+00:00
126,NW,3,0.0,56,47,12,2023-11-13 22:00:00+00:00
127,NW,3,-0.5555555555555556,59,45,12,2023-11-13 23:00:00+00:00
128,NW,3,-1.1111111111111112,66,41,12,2023-11-14 00:00:00+00:00
129,NW,1,-1.1111111111111112,69,39,12,2023-11-14 01:00:00+00:00
130,NW,1,-1.1111111111111112,71,38,12,2023-11-14 02:00:00+00:00
131,NW,1,-1.6666666666666667,75,36,12,2023-11-14 03:00:00+00:00
132,NW,1,-1.6666666666666667,78,36,12,2023-11-14 04:00:00+00:00
133,NW,1,-1.6666666666666667,78,35,12,2023-11-14 05:00:00+00:00
