,windDirection,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp
0,315,0,-7.222222222222222,24,55,9,2023-11-04 17:00:00+00:00
1,270,0,-7.777777777777778,21,58,9,2023-11-04 18:00:00+00:00
2,270,1,-7.777777777777778,19,59,7,2023-11-04 19:00:00+00:00
3,270,1,-7.777777777777778,20,60,7,2023-11-04 20:00:00+00:00
4,270,1,-6.666666666666667,21,60,6,2023-11-04 21:00:00+00:00
5,270,1,-6.666666666666667,23,58,5,2023-11-04 22:00:00+00:00
6,270,1,-6.111111111111111,27,55,5,2023-11-04 23:00:00+00:00
7,270,1,-5.0,36,49,5,2023-11-05 00:00:00+00:00
8,270,1,-4.444444444444445,43,45,3,2023-11-05 01:00:00+00:00
9,270,1,-2.7777777777777777,51,43,5,2023-11-05 02:00:00+00:00
10,270,1,-2.7777777777777777,53,43,5,2023-11-05 03:00:00+00:00
11,270,1,-3.3333333333333335,53,42,6,2023-11-05 04:00:00+00:00
12,315,2,-3.888888888888889,50,42,7,2023-11-05 05:00:00+00:00
13,315,2,-3.888888888888889,53,41,8,2023-11-05 06:00:00+00:00
14,315,2,-3.888888888888889,52,42,9,2023-11-05 07:00:00+00:00
15,315,2,-3.3333333333333335,53,42,10,2023-11-05 08:00:00+00:00
16,315,2,-2.2222222222222223,56,42,10,2023-11-05 09:00:00+00:00
17,315,2,-2.2222222222222223,57,43,12,2023-11-05 10:00:00+00:00
18,315,2,-1.1111111111111112,61,42,12,2023-11-05 11:00:00+00:00
19,315,2,-0.5555555555555556,63,42,12,2023-11-05 12:00:00+00:00
20,315,0,0.0,68,42,12,2023-11-05 13:00:00+00:00
21,315,0,1.1111111111111112,69,43,12,2023-11-05 14:00:00+00:00
22,315,0,2.2222222222222223,65,47,12,2023-11-05 15:00:00+00:00
23,315,0,3.3333333333333335,57,52,12,2023-11-05 16:00:00+00:00
24,315,0,3.3333333333333335,55,54,10,2023-11-05 17:00:00+00:00
25,315,0,3.888888888888889,54,56,10,2023-11-05 18:00:00+00:00
26,315,0,4.444444444444445,52,58,9,2023-11-05 19:00:00+00:00
27,315,0,4.444444444444445,51,58,9,2023-11-05 20:00:00+00:00
28,315,0,4.444444444444445,52,58,9,2023-11-05 21:00:00+00:00
29,315,0,4.444444444444445,54,56,9,2023-11-05 22:00:00+00:00
30,315,0,4.444444444444445,59,54,8,2023-11-05 23:00:00+00:00
31,315,0,4.444444444444445,66,50,8,2023-11-06 00:00:00+00:00
32,315,0,3.888888888888889,73,47,7,2023-11-06 01:00:00+00:00
33,315,0,3.888888888888889,78,45,6,2023-11-06 02:00:00+00:00
34,315,0,3.3333333333333335,80,44,6,2023-11-06 03:00:00+00:00
35,315,0,3.3333333333333335,81,43,5,2023-11-06 04:00:00+00:00
36,315,0,2.7777777777777777,82,42,3,2023-11-06 05:00:00+00:00
37,315,0,2.7777777777777777,82,42,2,2023-11-06 06:00:00+00:00
38,315,0,2.2222222222222223,82,41,1,2023-11-06 07:00:00+00:00
39,270,0,2.2222222222222223,83,41,1,2023-11-06 08:00:00+00:00
40,270,0,2.2222222222222223,82,41,2,2023-11-06 09:00:00+00:00
41,270,0,2.2222222222222223,83,40,2,2023-11-06 10:00:00+00:00
42,270,0,1.6666666666666667,84,39,3,2023-11-06 11:00:00+00:00
43,270,0,1.1111111111111112,84,38,3,2023-11-06 12:00:00+00:00
