,windDirection,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp
0,W,9,12.222222222222221,73,62,20,2023-10-30 17:00:00+00:00
1,W,12,11.666666666666666,74,62,18,2023-10-30 18:00:00+00:00
2,W,15,11.11111111111111,73,61,18,2023-10-30 19:00:00+00:00
3,W,17,10.555555555555555,76,59,18,2023-10-30 20:00:00+00:00
4,W,19,10.0,85,55,17,2023-10-30 21:00:00+00:00
5,W,30,9.444444444444445,90,52,17,2023-10-30 22:00:00+00:00
6,NW,19,8.333333333333334,90,49,17,2023-10-30 23:00:00+00:00
7,NW,20,7.222222222222222,93,47,17,2023-10-31 00:00:00+00:00
8,NW,17,6.111111111111111,94,45,17,2023-10-31 01:00:00+00:00
9,NW,14,5.555555555555555,95,44,17,2023-10-31 02:00:00+00:00
10,NW,11,5.555555555555555,98,43,15,2023-10-31 03:00:00+00:00
11,NW,14,5.0,97,42,14,2023-10-31 04:00:00+00:00
