,windDirection,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp
0,NE,0,-1.1111111111111112,51,47,6,2023-11-11 17:00:00+00:00
1,NE,0,-1.6666666666666667,45,50,6,2023-11-11 18:00:00+00:00
2,NE,0,-2.2222222222222223,41,51,5,2023-11-11 19:00:00+00:00
3,E,0,-2.2222222222222223,40,52,5,2023-11-11 20:00:00+00:00
4,E,0,-2.2222222222222223,41,51,5,2023-11-11 21:00:00+00:00
5,E,0,-2.2222222222222223,41,50,5,2023-11-11 22:00:00+00:00
6,E,0,-2.2222222222222223,46,47,6,2023-11-11 23:00:00+00:00
7,E,0,-2.7777777777777777,51,44,5,2023-11-12 00:00:00+00:00
8,NE,0,-2.7777777777777777,66,42,5,2023-11-12 01:00:00+00:00
9,E,0,0.0,73,39,2,2023-11-12 02:00:00+00:00
10,E,0,0.0,75,39,5,2023-11-12 03:00:00+00:00
11,E,0,-0.5555555555555556,78,38,5,2023-11-12 04:00:00+00:00
