,windDirection,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp
0,S,0,8.333333333333334,73,55,7,2023-11-09 03:00:00+00:00
1,SW,0,7.777777777777778,73,54,7,2023-11-09 04:00:00+00:00
2,SW,0,7.222222222222222,74,54,7,2023-11-09 05:00:00+00:00
3,SW,0,7.222222222222222,74,53,7,2023-11-09 06:00:00+00:00
4,W,0,6.666666666666667,73,52,7,2023-11-09 07:00:00+00:00
5,W,0,6.666666666666667,70,53,8,2023-11-09 08:00:00+00:00
6,W,0,6.666666666666667,69,54,12,2023-11-09 09:00:00+00:00
7,W,1,7.222222222222222,68,55,15,2023-11-09 10:00:00+00:00
8,W,2,7.777777777777778,70,55,16,2023-11-09 11:00:00+00:00
9,W,2,8.333333333333334,76,55,16,2023-11-09 12:00:00+00:00
10,W,10,9.444444444444445,79,55,17,2023-11-09 13:00:00+00:00
11,W,9,10.0,81,56,17,2023-11-09 14:00:00+00:00
