,number,name,startTime,endTime,isDaytime,temperature,temperatureUnit,temperatureTrend,probabilityOfPrecipitation,dewpoint,relativeHumidity,windSpeed,windDirection,icon,shortForecast,detailedForecast
0,1,,2023-11-06T22:00:00-05:00,2023-11-06T23:00:00-05:00,False,48,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 4.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 74}",6 mph,W,"https://api.weather.gov/icons/land/night/sct,0?size=small",Partly Cloudy,
1,2,,2023-11-06T23:00:00-05:00,2023-11-07T00:00:00-05:00,False,48,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 4.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 75}",7 mph,W,"https://api.weather.gov/icons/land/night/sct,0?size=small",Partly Cloudy,
2,3,,2023-11-07T00:00:00-05:00,2023-11-07T01:00:00-05:00,False,48,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 4.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 76}",8 mph,W,"https://api.weather.gov/icons/land/night/sct,0?size=small",Partly Cloudy,
3,4,,2023-11-07T01:00:00-05:00,2023-11-07T02:00:00-05:00,False,47,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 4.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 76}",9 mph,W,"https://api.weather.gov/icons/land/night/bkn,0?size=small",Mostly Cloudy,
4,5,,2023-11-07T02:00:00-05:00,2023-11-07T03:00:00-05:00,False,48,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 4.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 76}",12 mph,W,"https://api.weather.gov/icons/land/night/bkn,0?size=small",Mostly Cloudy,
5,6,,2023-11-07T03:00:00-05:00,2023-11-07T04:00:00-05:00,False,48,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 4.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 75}",14 mph,W,"https://api.weather.gov/icons/land/night/bkn,0?size=small",Mostly Cloudy,
6,7,,2023-11-07T04:00:00-05:00,2023-11-07T05:00:00-05:00,False,48,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 4.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 75}",14 mph,W,"https://api.weather.gov/icons/land/night/bkn,0?size=small",Mostly Cloudy,
7,8,,2023-11-07T05:00:00-05:00,2023-11-07T06:00:00-05:00,False,48,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 4.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 74}",15 mph,W,"https://api.weather.gov/icons/land/night/bkn,0?size=small",Mostly Cloudy,
8,9,,2023-11-07T06:00:00-05:00,2023-11-07T07:00:00-05:00,True,49,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 5}","{'unitCode': 'wmoUnit:percent', 'value': 74}",16 mph,W,"https://api.weather.gov/icons/land/day/bkn,0?size=small",Mostly Cloudy,
9,10,,2023-11-07T07:00:00-05:00,2023-11-07T08:00:00-05:00,True,49,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 5}","{'unitCode': 'wmoUnit:percent', 'value': 75}",12 mph,W,"https://api.weather.gov/icons/land/day/bkn,0?size=small",Mostly Cloudy,
10,11,,2023-11-07T08:00:00-05:00,2023-11-07T09:00:00-05:00,True,51,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': 6.666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 77}",17 mph,W,"https://api.weather.gov/icons/land/day/sct,1?size=small",Mostly Sunny,
11,12,,2023-11-07T09:00:00-05:00,2023-11-07T10:00:00-05:00,True,55,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': 7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 73}",17 mph,W,"https://api.weather.gov/icons/land/day/sct,1?size=small",Mostly Sunny,
12,13,,2023-11-07T10:00:00-05:00,2023-11-07T11:00:00-05:00,True,59,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': 8.88888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 65}",17 mph,W,"https://api.weather.gov/icons/land/day/sct,1?size=small",Mostly Sunny,
13,14,,2023-11-07T11:00:00-05:00,2023-11-07T12:00:00-05:00,True,63,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': 8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 56}",16 mph,W,"https://api.weather.gov/icons/land/day/few,1?size=small",Sunny,
14,15,,2023-11-07T12:00:00-05:00,2023-11-07T13:00:00-05:00,True,65,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': 8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 53}",15 mph,W,"https://api.weather.gov/icons/land/day/few,1?size=small",Sunny,
15,16,,2023-11-07T13:00:00-05:00,2023-11-07T14:00:00-05:00,True,66,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 8.88888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 52}",15 mph,W,"https://api.weather.gov/icons/land/day/few,0?size=small",Sunny,
16,17,,2023-11-07T14:00:00-05:00,2023-11-07T15:00:00-05:00,True,66,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 50}",14 mph,W,"https://api.weather.gov/icons/land/day/few,0?size=small",Sunny,
17,18,,2023-11-07T15:00:00-05:00,2023-11-07T16:00:00-05:00,True,65,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 8.88888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 53}",13 mph,W,"https://api.weather.gov/icons/land/day/few,0?size=small",Sunny,
18,19,,2023-11-07T16:00:00-05:00,2023-11-07T17:00:00-05:00,True,64,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 8.88888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 56}",12 mph,W,"https://api.weather.gov/icons/land/day/few,0?size=small",Sunny,
19,20,,2023-11-07T17:00:00-05:00,2023-11-07T18:00:00-05:00,True,61,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 60}",9 mph,W,"https://api.weather.gov/icons/land/day/few,0?size=small",Sunny,
20,21,,2023-11-07T18:00:00-05:00,2023-11-07T19:00:00-05:00,False,58,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 66}",8 mph,W,"https://api.weather.gov/icons/land/night/few,0?size=small",Mostly Clear,
21,22,,2023-11-07T19:00:00-05:00,2023-11-07T20:00:00-05:00,False,55,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': 8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 74}",8 mph,W,"https://api.weather.gov/icons/land/night/skc,1?size=small",Clear,
22,23,,2023-11-07T20:00:00-05:00,2023-11-07T21:00:00-05:00,False,54,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': 9.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 83}",7 mph,W,"https://api.weather.gov/icons/land/night/skc,1?size=small",Clear,
23,24,,2023-11-07T21:00:00-05:00,2023-11-07T22:00:00-05:00,False,53,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': 9.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 86}",7 mph,W,"https://api.weather.gov/icons/land/night/skc,1?size=small",Clear,
24,25,,2023-11-07T22:00:00-05:00,2023-11-07T23:00:00-05:00,False,52,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': 8.88888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 86}",7 mph,W,"https://api.weather.gov/icons/land/night/skc,1?size=small",Clear,
25,26,,2023-11-07T23:00:00-05:00,2023-11-08T00:00:00-05:00,False,52,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': 8.88888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 86}",7 mph,W,"https://api.weather.gov/icons/land/night/few,1?size=small",Mostly Clear,
26,27,,2023-11-08T00:00:00-05:00,2023-11-08T01:00:00-05:00,False,51,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': 8.88888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 87}",8 mph,W,"https://api.weather.gov/icons/land/night/few,1?size=small",Mostly Clear,
27,28,,2023-11-08T01:00:00-05:00,2023-11-08T02:00:00-05:00,False,51,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 8.88888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 88}",9 mph,W,"https://api.weather.gov/icons/land/night/few,0?size=small",Mostly Clear,
28,29,,2023-11-08T02:00:00-05:00,2023-11-08T03:00:00-05:00,False,50,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 89}",9 mph,W,"https://api.weather.gov/icons/land/night/few,0?size=small",Mostly Clear,
29,30,,2023-11-08T03:00:00-05:00,2023-11-08T04:00:00-05:00,False,50,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 91}",9 mph,W,"https://api.weather.gov/icons/land/night/few,0?size=small",Mostly Clear,
