,number,name,startTime,endTime,isDaytime,temperature,temperatureUnit,temperatureTrend,probabilityOfPrecipitation,dewpoint,relativeHumidity,windSpeed,windDirection,icon,shortForecast,detailedForecast
0,1,,2023-11-20T06:00:00-05:00,2023-11-20T07:00:00-05:00,True,32,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -1.6666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 89}",5 mph,E,"https://api.weather.gov/icons/land/day/sct,0?size=small",Mostly Sunny,
1,2,,2023-11-20T07:00:00-05:00,2023-11-20T08:00:00-05:00,True,32,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -1.6666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 90}",5 mph,E,"https://api.weather.gov/icons/land/day/sct,1?size=small",Mostly Sunny,
2,3,,2023-11-20T08:00:00-05:00,2023-11-20T09:00:00-05:00,True,36,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 79}",5 mph,E,"https://api.weather.gov/icons/land/day/bkn,0?size=small",Partly Sunny,
3,4,,2023-11-20T09:00:00-05:00,2023-11-20T10:00:00-05:00,True,39,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 71}",6 mph,E,"https://api.weather.gov/icons/land/day/bkn,0?size=small",Partly Sunny,
4,5,,2023-11-20T10:00:00-05:00,2023-11-20T11:00:00-05:00,True,43,F,,"{'unitCode': 'wmoUnit:percent', 'value': 3}","{'unitCode': 'wmoUnit:degC', 'value': -0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 63}",7 mph,E,"https://api.weather.gov/icons/land/day/bkn,3?size=small",Partly Sunny,
5,6,,2023-11-20T11:00:00-05:00,2023-11-20T12:00:00-05:00,True,45,F,,"{'unitCode': 'wmoUnit:percent', 'value': 4}","{'unitCode': 'wmoUnit:degC', 'value': -0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 56}",7 mph,SE,"https://api.weather.gov/icons/land/day/bkn,4?size=small",Partly Sunny,
6,7,,2023-11-20T12:00:00-05:00,2023-11-20T13:00:00-05:00,True,46,F,,"{'unitCode': 'wmoUnit:percent', 'value': 5}","{'unitCode': 'wmoUnit:degC', 'value': -1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 53}",8 mph,SE,"https://api.weather.gov/icons/land/day/bkn,5?size=small",Partly Sunny,
7,8,,2023-11-20T13:00:00-05:00,2023-11-20T14:00:00-05:00,True,46,F,,"{'unitCode': 'wmoUnit:percent', 'value': 3}","{'unitCode': 'wmoUnit:degC', 'value': -1.6666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 51}",8 mph,SE,"https://api.weather.gov/icons/land/day/bkn,3?size=small",Partly Sunny,
8,9,,2023-11-20T14:00:00-05:00,2023-11-20T15:00:00-05:00,True,47,F,,"{'unitCode': 'wmoUnit:percent', 'value': 4}","{'unitCode': 'wmoUnit:degC', 'value': -1.6666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 50}",8 mph,SE,"https://api.weather.gov/icons/land/day/bkn,4?size=small",Partly Sunny,
9,10,,2023-11-20T15:00:00-05:00,2023-11-20T16:00:00-05:00,True,46,F,,"{'unitCode': 'wmoUnit:percent', 'value': 5}","{'unitCode': 'wmoUnit:degC', 'value': -1.6666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 51}",8 mph,SE,"https://api.weather.gov/icons/land/day/bkn,5?size=small",Mostly Cloudy,
10,11,,2023-11-20T16:00:00-05:00,2023-11-20T17:00:00-05:00,True,45,F,,"{'unitCode': 'wmoUnit:percent', 'value': 5}","{'unitCode': 'wmoUnit:degC', 'value': -1.6666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 54}",8 mph,SE,"https://api.weather.gov/icons/land/day/bkn,5?size=small",Mostly Cloudy,
11,12,,2023-11-20T17:00:00-05:00,2023-11-20T18:00:00-05:00,True,43,F,,"{'unitCode': 'wmoUnit:percent', 'value': 5}","{'unitCode': 'wmoUnit:degC', 'value': -1.6666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 58}",8 mph,E,"https://api.weather.gov/icons/land/day/bkn,5?size=small",Mostly Cloudy,
12,13,,2023-11-20T18:00:00-05:00,2023-11-20T19:00:00-05:00,False,42,F,,"{'unitCode': 'wmoUnit:percent', 'value': 6}","{'unitCode': 'wmoUnit:degC', 'value': -1.6666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 62}",8 mph,E,"https://api.weather.gov/icons/land/night/bkn,6?size=small",Mostly Cloudy,
13,14,,2023-11-20T19:00:00-05:00,2023-11-20T20:00:00-05:00,False,40,F,,"{'unitCode': 'wmoUnit:percent', 'value': 5}","{'unitCode': 'wmoUnit:degC', 'value': -1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 66}",8 mph,E,"https://api.weather.gov/icons/land/night/bkn,5?size=small",Mostly Cloudy,
14,15,,2023-11-20T20:00:00-05:00,2023-11-20T21:00:00-05:00,False,39,F,,"{'unitCode': 'wmoUnit:percent', 'value': 5}","{'unitCode': 'wmoUnit:degC', 'value': -1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 68}",9 mph,E,"https://api.weather.gov/icons/land/night/bkn,5?size=small",Mostly Cloudy,
15,16,,2023-11-20T21:00:00-05:00,2023-11-20T22:00:00-05:00,False,39,F,,"{'unitCode': 'wmoUnit:percent', 'value': 7}","{'unitCode': 'wmoUnit:degC', 'value': -1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 69}",9 mph,E,"https://api.weather.gov/icons/land/night/bkn,7?size=small",Mostly Cloudy,
16,17,,2023-11-20T22:00:00-05:00,2023-11-20T23:00:00-05:00,False,38,F,,"{'unitCode': 'wmoUnit:percent', 'value': 10}","{'unitCode': 'wmoUnit:degC', 'value': -1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 70}",9 mph,SE,"https://api.weather.gov/icons/land/night/ovc,10?size=small",Cloudy,
17,18,,2023-11-20T23:00:00-05:00,2023-11-21T00:00:00-05:00,False,38,F,,"{'unitCode': 'wmoUnit:percent', 'value': 17}","{'unitCode': 'wmoUnit:degC', 'value': -1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 73}",10 mph,SE,"https://api.weather.gov/icons/land/night/rain,17?size=small",Slight Chance Light Rain,
18,19,,2023-11-21T00:00:00-05:00,2023-11-21T01:00:00-05:00,False,38,F,,"{'unitCode': 'wmoUnit:percent', 'value': 43}","{'unitCode': 'wmoUnit:degC', 'value': 0}","{'unitCode': 'wmoUnit:percent', 'value': 77}",10 mph,SE,"https://api.weather.gov/icons/land/night/rain,43?size=small",Chance Light Rain,
19,20,,2023-11-21T01:00:00-05:00,2023-11-21T02:00:00-05:00,False,38,F,,"{'unitCode': 'wmoUnit:percent', 'value': 73}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 83}",12 mph,SE,"https://api.weather.gov/icons/land/night/rain,73?size=small",Rain Likely,
