,number,name,startTime,endTime,isDaytime,temperature,temperatureUnit,temperatureTrend,probabilityOfPrecipitation,dewpoint,relativeHumidity,windSpeed,windDirection,icon,shortForecast,detailedForecast
0,1,,2023-11-02T15:00:00-04:00,2023-11-02T16:00:00-04:00,True,45,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -11.11111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 25}",5 mph,SW,"https://api.weather.gov/icons/land/day/skc,0?size=small",Sunny,
1,2,,2023-11-02T16:00:00-04:00,2023-11-02T17:00:00-04:00,True,45,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -11.11111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 26}",5 mph,S,"https://api.weather.gov/icons/land/day/skc,0?size=small",Sunny,
2,3,,2023-11-02T17:00:00-04:00,2023-11-02T18:00:00-04:00,True,44,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -10.555555555555555}","{'unitCode': 'wmoUnit:percent', 'value': 28}",6 mph,SW,"https://api.weather.gov/icons/land/day/skc,0?size=small",Sunny,
3,4,,2023-11-02T18:00:00-04:00,2023-11-02T19:00:00-04:00,False,40,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -10}","{'unitCode': 'wmoUnit:percent', 'value': 33}",3 mph,SW,"https://api.weather.gov/icons/land/night/skc,0?size=small",Clear,
4,5,,2023-11-02T19:00:00-04:00,2023-11-02T20:00:00-04:00,False,36,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -9.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 42}",2 mph,SW,"https://api.weather.gov/icons/land/night/skc,0?size=small",Clear,
5,6,,2023-11-02T20:00:00-04:00,2023-11-02T21:00:00-04:00,False,37,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -9.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 40}",1 mph,SW,"https://api.weather.gov/icons/land/night/skc,0?size=small",Clear,
6,7,,2023-11-02T21:00:00-04:00,2023-11-02T22:00:00-04:00,False,36,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -8.88888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 44}",1 mph,S,"https://api.weather.gov/icons/land/night/skc,0?size=small",Clear,
7,8,,2023-11-02T22:00:00-04:00,2023-11-02T23:00:00-04:00,False,34,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 49}",0 mph,S,"https://api.weather.gov/icons/land/night/skc,0?size=small",Clear,
8,9,,2023-11-02T23:00:00-04:00,2023-11-03T00:00:00-04:00,False,33,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 53}",0 mph,S,"https://api.weather.gov/icons/land/night/skc,0?size=small",Clear,
9,10,,2023-11-03T00:00:00-04:00,2023-11-03T01:00:00-04:00,False,32,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 55}",0 mph,S,"https://api.weather.gov/icons/land/night/skc,0?size=small",Clear,
10,11,,2023-11-03T01:00:00-04:00,2023-11-03T02:00:00-04:00,False,31,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 56}",0 mph,S,"https://api.weather.gov/icons/land/night/skc,0?size=small",Clear,
11,12,,2023-11-03T02:00:00-04:00,2023-11-03T03:00:00-04:00,False,30,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 59}",0 mph,SW,"https://api.weather.gov/icons/land/night/skc,0?size=small",Clear,
12,13,,2023-11-03T03:00:00-04:00,2023-11-03T04:00:00-04:00,False,29,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 60}",0 mph,SW,"https://api.weather.gov/icons/land/night/few,0?size=small",Mostly Clear,
13,14,,2023-11-03T04:00:00-04:00,2023-11-03T05:00:00-04:00,False,29,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 60}",0 mph,SW,"https://api.weather.gov/icons/land/night/skc,0?size=small",Clear,
14,15,,2023-11-03T05:00:00-04:00,2023-11-03T06:00:00-04:00,False,28,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -8.88888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 61}",0 mph,W,"https://api.weather.gov/icons/land/night/skc,0?size=small",Clear,
15,16,,2023-11-03T06:00:00-04:00,2023-11-03T07:00:00-04:00,True,27,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -8.88888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 64}",0 mph,SW,"https://api.weather.gov/icons/land/day/skc,0?size=small",Sunny,
