,number,name,startTime,endTime,isDaytime,temperature,temperatureUnit,temperatureTrend,probabilityOfPrecipitation,dewpoint,relativeHumidity,windSpeed,windDirection,icon,shortForecast,detailedForecast
0,1,,2024-01-01T23:00:00-05:00,2024-01-02T00:00:00-05:00,False,24,F,,"{'unitCode': 'wmoUnit:percent', 'value': 2}","{'unitCode': 'wmoUnit:degC', 'value': -6.111111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 85}",16 mph,NW,"https://api.weather.gov/icons/land/night/bkn,2?size=small",Mostly Cloudy,
1,2,,2024-01-02T00:00:00-05:00,2024-01-02T01:00:00-05:00,False,24,F,,"{'unitCode': 'wmoUnit:percent', 'value': 4}","{'unitCode': 'wmoUnit:degC', 'value': -6.111111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 85}",16 mph,NW,"https://api.weather.gov/icons/land/night/bkn,4?size=small",Mostly Cloudy,
2,3,,2024-01-02T01:00:00-05:00,2024-01-02T02:00:00-05:00,False,24,F,,"{'unitCode': 'wmoUnit:percent', 'value': 5}","{'unitCode': 'wmoUnit:degC', 'value': -6.111111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 87}",16 mph,NW,"https://api.weather.gov/icons/land/night/bkn,5?size=small",Mostly Cloudy,
3,4,,2024-01-02T02:00:00-05:00,2024-01-02T03:00:00-05:00,False,23,F,,"{'unitCode': 'wmoUnit:percent', 'value': 4}","{'unitCode': 'wmoUnit:degC', 'value': -6.111111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 91}",16 mph,NW,"https://api.weather.gov/icons/land/night/bkn,4?size=small",Mostly Cloudy,
4,5,,2024-01-02T03:00:00-05:00,2024-01-02T04:00:00-05:00,False,23,F,,"{'unitCode': 'wmoUnit:percent', 'value': 3}","{'unitCode': 'wmoUnit:degC', 'value': -5.555555555555555}","{'unitCode': 'wmoUnit:percent', 'value': 95}",16 mph,NW,"https://api.weather.gov/icons/land/night/bkn,3?size=small",Mostly Cloudy,
5,6,,2024-01-02T04:00:00-05:00,2024-01-02T05:00:00-05:00,False,23,F,,"{'unitCode': 'wmoUnit:percent', 'value': 2}","{'unitCode': 'wmoUnit:degC', 'value': -5.555555555555555}","{'unitCode': 'wmoUnit:percent', 'value': 95}",16 mph,NW,"https://api.weather.gov/icons/land/night/bkn,2?size=small",Mostly Cloudy,
6,7,,2024-01-02T05:00:00-05:00,2024-01-02T06:00:00-05:00,False,23,F,,"{'unitCode': 'wmoUnit:percent', 'value': 2}","{'unitCode': 'wmoUnit:degC', 'value': -5.555555555555555}","{'unitCode': 'wmoUnit:percent', 'value': 96}",15 mph,NW,"https://api.weather.gov/icons/land/night/bkn,2?size=small",Mostly Cloudy,
7,8,,2024-01-02T06:00:00-05:00,2024-01-02T07:00:00-05:00,True,22,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -6.111111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 98}",15 mph,NW,"https://api.weather.gov/icons/land/day/bkn,1?size=small",Partly Sunny,
8,9,,2024-01-02T07:00:00-05:00,2024-01-02T08:00:00-05:00,True,22,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -6.111111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 96}",15 mph,NW,"https://api.weather.gov/icons/land/day/bkn,0?size=small",Partly Sunny,
9,10,,2024-01-02T08:00:00-05:00,2024-01-02T09:00:00-05:00,True,22,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -6.666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 96}",14 mph,NW,"https://api.weather.gov/icons/land/day/bkn,0?size=small",Partly Sunny,
