,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp,windDirection_x,windDirection_y,windSpeed_knots
0,1,11.666666666666666,88,57,5,2023-10-30 05:00:00+00:00,-1.0,0.0,4
1,1,11.666666666666666,88,56,5,2023-10-30 06:00:00+00:00,-1.0,0.0,4
2,1,11.11111111111111,89,56,5,2023-10-30 07:00:00+00:00,-1.0,0.0,4
3,1,11.11111111111111,88,55,6,2023-10-30 08:00:00+00:00,-1.0,0.0,5
4,1,10.555555555555555,87,55,7,2023-10-30 09:00:00+00:00,-1.0,0.0,6
5,1,10.555555555555555,86,55,8,2023-10-30 10:00:00+00:00,-1.0,0.0,7
6,4,10.0,84,55,9,2023-10-30 11:00:00+00:00,-1.0,0.0,8
7,2,10.0,84,55,12,2023-10-30 12:00:00+00:00,-1.0,0.0,10
8,4,10.555555555555555,88,55,14,2023-10-30 13:00:00+00:00,-1.0,0.0,12
9,6,11.11111111111111,88,56,16,2023-10-30 14:00:00+00:00,-1.0,0.0,14
10,8,12.222222222222221,80,60,18,2023-10-30 15:00:00+00:00,-1.0,0.0,16
11,11,12.777777777777779,77,62,18,2023-10-30 16:00:00+00:00,-1.0,0.0,16
12,15,12.777777777777779,73,63,18,2023-10-30 17:00:00+00:00,-1.0,0.0,16
13,23,12.777777777777779,74,64,18,2023-10-30 18:00:00+00:00,-1.0,0.0,16
14,28,13.333333333333334,79,62,16,2023-10-30 19:00:00+00:00,-1.0,0.0,14
15,27,12.777777777777779,83,60,16,2023-10-30 20:00:00+00:00,-1.0,0.0,14
16,19,11.666666666666666,87,57,16,2023-10-30 21:00:00+00:00,-0.7071067811865476,0.7071067811865476,14
17,19,10.555555555555555,91,54,16,2023-10-30 22:00:00+00:00,-0.7071067811865476,0.7071067811865476,14
18,19,9.444444444444445,93,51,16,2023-10-30 23:00:00+00:00,-0.7071067811865476,0.7071067811865476,14
19,20,8.333333333333334,93,49,16,2023-10-31 00:00:00+00:00,-0.7071067811865476,0.7071067811865476,14
20,28,7.777777777777778,96,47,16,2023-10-31 01:00:00+00:00,-0.7071067811865476,0.7071067811865476,14
