,number,name,startTime,endTime,isDaytime,temperature,temperatureUnit,temperatureTrend,probabilityOfPrecipitation,dewpoint,relativeHumidity,windSpeed,windDirection,icon,shortForecast,detailedForecast
0,1,,2023-11-27T14:00:00-05:00,2023-11-27T15:00:00-05:00,True,32,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -5.555555555555555}","{'unitCode': 'wmoUnit:percent', 'value': 65}",18 mph,NW,"https://api.weather.gov/icons/land/day/sct,1?size=small",Mostly Sunny,
1,2,,2023-11-27T15:00:00-05:00,2023-11-27T16:00:00-05:00,True,32,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -6.666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 59}",20 mph,NW,"https://api.weather.gov/icons/land/day/few,1?size=small",Sunny,
2,3,,2023-11-27T16:00:00-05:00,2023-11-27T17:00:00-05:00,True,31,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -7.222222222222222}","{'unitCode': 'wmoUnit:percent', 'value': 62}",18 mph,NW,"https://api.weather.gov/icons/land/day/few,1?size=small",Sunny,
3,4,,2023-11-27T17:00:00-05:00,2023-11-27T18:00:00-05:00,True,30,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -7.222222222222222}","{'unitCode': 'wmoUnit:percent', 'value': 64}",18 mph,NW,"https://api.weather.gov/icons/land/day/few,1?size=small",Sunny,
4,5,,2023-11-27T18:00:00-05:00,2023-11-27T19:00:00-05:00,False,29,F,,"{'unitCode': 'wmoUnit:percent', 'value': 2}","{'unitCode': 'wmoUnit:degC', 'value': -7.222222222222222}","{'unitCode': 'wmoUnit:percent', 'value': 67}",17 mph,NW,"https://api.weather.gov/icons/land/night/few,2?size=small",Mostly Clear,
5,6,,2023-11-27T19:00:00-05:00,2023-11-27T20:00:00-05:00,False,27,F,,"{'unitCode': 'wmoUnit:percent', 'value': 5}","{'unitCode': 'wmoUnit:degC', 'value': -7.222222222222222}","{'unitCode': 'wmoUnit:percent', 'value': 72}",17 mph,NW,"https://api.weather.gov/icons/land/night/sct,5?size=small",Partly Cloudy,
6,7,,2023-11-27T20:00:00-05:00,2023-11-27T21:00:00-05:00,False,26,F,,"{'unitCode': 'wmoUnit:percent', 'value': 6}","{'unitCode': 'wmoUnit:degC', 'value': -7.222222222222222}","{'unitCode': 'wmoUnit:percent', 'value': 76}",21 mph,W,"https://api.weather.gov/icons/land/night/wind_sct,6?size=small",Partly Cloudy,
7,8,,2023-11-27T21:00:00-05:00,2023-11-27T22:00:00-05:00,False,26,F,,"{'unitCode': 'wmoUnit:percent', 'value': 7}","{'unitCode': 'wmoUnit:degC', 'value': -7.222222222222222}","{'unitCode': 'wmoUnit:percent', 'value': 77}",23 mph,NW,"https://api.weather.gov/icons/land/night/wind_sct,7?size=small",Partly Cloudy,
8,9,,2023-11-27T22:00:00-05:00,2023-11-27T23:00:00-05:00,False,25,F,,"{'unitCode': 'wmoUnit:percent', 'value': 9}","{'unitCode': 'wmoUnit:degC', 'value': -7.222222222222222}","{'unitCode': 'wmoUnit:percent', 'value': 77}",24 mph,NW,"https://api.weather.gov/icons/land/night/wind_sct,9?size=small",Partly Cloudy,
9,10,,2023-11-27T23:00:00-05:00,2023-11-28T00:00:00-05:00,False,25,F,,"{'unitCode': 'wmoUnit:percent', 'value': 10}","{'unitCode': 'wmoUnit:degC', 'value': -7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 75}",24 mph,NW,"https://api.weather.gov/icons/land/night/wind_sct,10?size=small",Partly Cloudy,
10,11,,2023-11-28T00:00:00-05:00,2023-11-28T01:00:00-05:00,False,23,F,,"{'unitCode': 'wmoUnit:percent', 'value': 11}","{'unitCode': 'wmoUnit:degC', 'value': -8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 77}",24 mph,NW,"https://api.weather.gov/icons/land/night/wind_sct,11?size=small",Partly Cloudy,
11,12,,2023-11-28T01:00:00-05:00,2023-11-28T02:00:00-05:00,False,22,F,,"{'unitCode': 'wmoUnit:percent', 'value': 12}","{'unitCode': 'wmoUnit:degC', 'value': -8.88888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 77}",25 mph,NW,"https://api.weather.gov/icons/land/night/wind_sct,12?size=small",Partly Cloudy,
