,windDirection,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp
0,S,0,3.3333333333333335,44,60,6,2023-10-23 21:00:00+00:00
1,S,0,3.888888888888889,47,59,5,2023-10-23 22:00:00+00:00
2,S,0,3.888888888888889,51,57,6,2023-10-23 23:00:00+00:00
3,S,0,3.3333333333333335,62,51,6,2023-10-24 00:00:00+00:00
4,SE,0,3.3333333333333335,70,47,6,2023-10-24 01:00:00+00:00
5,SE,0,2.7777777777777777,73,45,0,2023-10-24 02:00:00+00:00
6,SE,0,2.2222222222222223,73,44,5,2023-10-24 03:00:00+00:00
7,SE,0,1.6666666666666667,74,43,5,2023-10-24 04:00:00+00:00
8,SE,0,1.6666666666666667,74,42,0,2023-10-24 05:00:00+00:00
9,SE,0,1.1111111111111112,80,40,0,2023-10-24 06:00:00+00:00
10,SE,0,1.1111111111111112,80,39,0,2023-10-24 07:00:00+00:00
11,E,0,1.1111111111111112,81,39,5,2023-10-24 08:00:00+00:00
