,number,name,startTime,endTime,isDaytime,temperature,temperatureUnit,temperatureTrend,probabilityOfPrecipitation,dewpoint,relativeHumidity,windSpeed,windDirection,icon,shortForecast,detailedForecast
0,1,,2023-12-09T00:00:00-05:00,2023-12-09T01:00:00-05:00,False,37,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -2.2222222222222223}","{'unitCode': 'wmoUnit:percent', 'value': 68}",5 mph,SW,"https://api.weather.gov/icons/land/night/bkn,0?size=small",Mostly Cloudy,
1,2,,2023-12-09T01:00:00-05:00,2023-12-09T02:00:00-05:00,False,37,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -2.2222222222222223}","{'unitCode': 'wmoUnit:percent', 'value': 69}",5 mph,SW,"https://api.weather.gov/icons/land/night/sct,0?size=small",Partly Cloudy,
2,3,,2023-12-09T02:00:00-05:00,2023-12-09T03:00:00-05:00,False,38,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -2.2222222222222223}","{'unitCode': 'wmoUnit:percent', 'value': 67}",5 mph,SW,"https://api.weather.gov/icons/land/night/few,1?size=small",Mostly Clear,
3,4,,2023-12-09T03:00:00-05:00,2023-12-09T04:00:00-05:00,False,38,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -1.6666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 70}",6 mph,SW,"https://api.weather.gov/icons/land/night/sct,1?size=small",Partly Cloudy,
4,5,,2023-12-09T04:00:00-05:00,2023-12-09T05:00:00-05:00,False,39,F,,"{'unitCode': 'wmoUnit:percent', 'value': 2}","{'unitCode': 'wmoUnit:degC', 'value': -1.6666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 67}",6 mph,SW,"https://api.weather.gov/icons/land/night/sct,2?size=small",Partly Cloudy,
5,6,,2023-12-09T05:00:00-05:00,2023-12-09T06:00:00-05:00,False,40,F,,"{'unitCode': 'wmoUnit:percent', 'value': 7}","{'unitCode': 'wmoUnit:degC', 'value': -1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 69}",6 mph,SW,"https://api.weather.gov/icons/land/night/sct,7?size=small",Partly Cloudy,
6,7,,2023-12-09T06:00:00-05:00,2023-12-09T07:00:00-05:00,True,40,F,,"{'unitCode': 'wmoUnit:percent', 'value': 12}","{'unitCode': 'wmoUnit:degC', 'value': 0}","{'unitCode': 'wmoUnit:percent', 'value': 73}",6 mph,SW,"https://api.weather.gov/icons/land/day/bkn,12?size=small",Partly Sunny,
7,8,,2023-12-09T07:00:00-05:00,2023-12-09T08:00:00-05:00,True,41,F,,"{'unitCode': 'wmoUnit:percent', 'value': 16}","{'unitCode': 'wmoUnit:degC', 'value': 1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 76}",6 mph,SW,"https://api.weather.gov/icons/land/day/rain_showers,16?size=small",Slight Chance Rain Showers,
8,9,,2023-12-09T08:00:00-05:00,2023-12-09T09:00:00-05:00,True,41,F,,"{'unitCode': 'wmoUnit:percent', 'value': 19}","{'unitCode': 'wmoUnit:degC', 'value': 2.7777777777777777}","{'unitCode': 'wmoUnit:percent', 'value': 84}",6 mph,SW,"https://api.weather.gov/icons/land/day/rain_showers,19?size=small",Slight Chance Rain Showers,
9,10,,2023-12-09T09:00:00-05:00,2023-12-09T10:00:00-05:00,True,45,F,,"{'unitCode': 'wmoUnit:percent', 'value': 22}","{'unitCode': 'wmoUnit:degC', 'value': 3.888888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 80}",7 mph,SW,"https://api.weather.gov/icons/land/day/rain_showers,22?size=small",Slight Chance Rain Showers,
10,11,,2023-12-09T10:00:00-05:00,2023-12-09T11:00:00-05:00,True,49,F,,"{'unitCode': 'wmoUnit:percent', 'value': 24}","{'unitCode': 'wmoUnit:degC', 'value': 5.555555555555555}","{'unitCode': 'wmoUnit:percent', 'value': 76}",8 mph,SW,"https://api.weather.gov/icons/land/day/rain_showers,24?size=small",Slight Chance Rain Showers,
11,12,,2023-12-09T11:00:00-05:00,2023-12-09T12:00:00-05:00,True,52,F,,"{'unitCode': 'wmoUnit:percent', 'value': 25}","{'unitCode': 'wmoUnit:degC', 'value': 7.222222222222222}","{'unitCode': 'wmoUnit:percent', 'value': 75}",9 mph,SW,"https://api.weather.gov/icons/land/day/rain_showers,25?size=small",Chance Rain Showers,
12,13,,2023-12-09T12:00:00-05:00,2023-12-09T13:00:00-05:00,True,54,F,,"{'unitCode': 'wmoUnit:percent', 'value': 26}","{'unitCode': 'wmoUnit:degC', 'value': 8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 76}",9 mph,SW,"https://api.weather.gov/icons/land/day/rain_showers,26?size=small",Chance Rain Showers,
13,14,,2023-12-09T13:00:00-05:00,2023-12-09T14:00:00-05:00,True,55,F,,"{'unitCode': 'wmoUnit:percent', 'value': 27}","{'unitCode': 'wmoUnit:degC', 'value': 8.88888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 77}",10 mph,SW,"https://api.weather.gov/icons/land/day/rain_showers,27?size=small",Chance Rain Showers,
