,windDirection,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp
0,S,0,6.111111111111111,73,51,3,2023-10-26 08:00:00+00:00
1,S,0,6.111111111111111,77,50,5,2023-10-26 09:00:00+00:00
2,S,0,6.666666666666667,81,50,5,2023-10-26 10:00:00+00:00
3,S,0,7.222222222222222,87,48,3,2023-10-26 11:00:00+00:00
4,S,0,7.222222222222222,93,47,2,2023-10-26 12:00:00+00:00
5,SW,0,7.777777777777778,95,48,2,2023-10-26 13:00:00+00:00
6,SW,0,8.88888888888889,88,51,2,2023-10-26 14:00:00+00:00
7,S,0,10.0,81,55,5,2023-10-26 15:00:00+00:00
8,S,0,10.0,74,59,6,2023-10-26 16:00:00+00:00
9,S,0,10.0,67,61,6,2023-10-26 17:00:00+00:00
10,S,0,9.444444444444445,59,63,7,2023-10-26 18:00:00+00:00
11,S,0,8.88888888888889,53,66,7,2023-10-26 19:00:00+00:00
