,windDirection,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp
0,NW,3,5.555555555555555,96,43,5,2023-11-11 05:00:00+00:00
1,NW,3,5.555555555555555,98,42,5,2023-11-11 06:00:00+00:00
2,NW,3,5.0,98,41,5,2023-11-11 07:00:00+00:00
3,NW,3,4.444444444444445,99,41,5,2023-11-11 08:00:00+00:00
4,NW,3,3.888888888888889,97,40,3,2023-11-11 09:00:00+00:00
5,NW,4,3.3333333333333335,96,39,3,2023-11-11 10:00:00+00:00
6,NW,4,2.7777777777777777,92,39,3,2023-11-11 11:00:00+00:00
7,NW,3,1.1111111111111112,88,37,3,2023-11-11 12:00:00+00:00
8,NW,0,0.0,79,38,3,2023-11-11 13:00:00+00:00
9,N,0,-0.5555555555555556,74,38,3,2023-11-11 14:00:00+00:00
10,NW,0,-0.5555555555555556,66,41,5,2023-11-11 15:00:00+00:00
11,NW,0,-0.5555555555555556,58,45,6,2023-11-11 16:00:00+00:00
