,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp,windDirection_x,windDirection_y
0,38,7.777777777777778,94,48,6,2023-11-10 20:00:00+00:00,0.7071067811865476,0.7071067811865476
1,30,7.777777777777778,91,48,5,2023-11-10 21:00:00+00:00,0.0,1.0
2,21,7.222222222222222,90,48,5,2023-11-10 22:00:00+00:00,0.0,1.0
3,22,7.222222222222222,92,47,5,2023-11-10 23:00:00+00:00,0.0,1.0
4,7,7.222222222222222,96,46,3,2023-11-11 00:00:00+00:00,0.0,1.0
5,3,7.222222222222222,98,45,5,2023-11-11 01:00:00+00:00,-0.7071067811865476,0.7071067811865476
6,2,6.666666666666667,97,45,3,2023-11-11 02:00:00+00:00,-0.7071067811865476,0.7071067811865476
7,1,6.666666666666667,99,45,5,2023-11-11 03:00:00+00:00,-0.7071067811865476,0.7071067811865476
8,1,6.666666666666667,98,44,5,2023-11-11 04:00:00+00:00,-0.7071067811865476,0.7071067811865476
9,0,6.111111111111111,98,43,5,2023-11-11 05:00:00+00:00,-0.7071067811865476,0.7071067811865476
10,0,5.555555555555555,97,43,5,2023-11-11 06:00:00+00:00,-0.7071067811865476,0.7071067811865476
11,0,5.0,99,42,5,2023-11-11 07:00:00+00:00,-0.7071067811865476,0.7071067811865476
12,0,4.444444444444445,97,41,5,2023-11-11 08:00:00+00:00,-0.7071067811865476,0.7071067811865476
13,0,4.444444444444445,98,40,3,2023-11-11 09:00:00+00:00,-0.7071067811865476,0.7071067811865476
14,0,3.3333333333333335,98,39,3,2023-11-11 10:00:00+00:00,-0.7071067811865476,0.7071067811865476
15,0,2.2222222222222223,92,38,3,2023-11-11 11:00:00+00:00,-0.7071067811865476,0.7071067811865476
16,0,1.6666666666666667,89,38,3,2023-11-11 12:00:00+00:00,-0.7071067811865476,0.7071067811865476
17,0,1.1111111111111112,86,38,3,2023-11-11 13:00:00+00:00,-0.7071067811865476,0.7071067811865476
18,0,1.1111111111111112,84,38,3,2023-11-11 14:00:00+00:00,0.0,1.0
19,0,1.1111111111111112,75,41,5,2023-11-11 15:00:00+00:00,-0.7071067811865476,0.7071067811865476
20,0,1.1111111111111112,64,45,6,2023-11-11 16:00:00+00:00,-0.7071067811865476,0.7071067811865476
21,0,0.0,52,49,6,2023-11-11 17:00:00+00:00,-0.7071067811865476,0.7071067811865476
22,0,0.0,48,51,6,2023-11-11 18:00:00+00:00,-0.7071067811865476,0.7071067811865476
23,3,-0.5555555555555556,45,52,5,2023-11-11 19:00:00+00:00,-0.7071067811865476,0.7071067811865476
24,3,0.0,44,53,5,2023-11-11 20:00:00+00:00,-0.7071067811865476,0.7071067811865476
25,3,0.0,46,52,5,2023-11-11 21:00:00+00:00,0.0,1.0
26,3,0.0,48,51,5,2023-11-11 22:00:00+00:00,0.0,1.0
27,3,0.0,53,49,5,2023-11-11 23:00:00+00:00,0.0,1.0
28,3,0.0,61,44,5,2023-11-12 00:00:00+00:00,0.0,1.0
29,5,0.0,65,43,5,2023-11-12 01:00:00+00:00,0.0,1.0
30,5,-0.5555555555555556,66,42,3,2023-11-12 02:00:00+00:00,0.7071067811865476,0.7071067811865476
31,5,-0.5555555555555556,68,40,3,2023-11-12 03:00:00+00:00,0.7071067811865476,0.7071067811865476
32,5,-1.1111111111111112,70,39,5,2023-11-12 04:00:00+00:00,1.0,0.0
33,5,-1.1111111111111112,71,38,5,2023-11-12 05:00:00+00:00,1.0,0.0
34,5,-1.6666666666666667,74,37,5,2023-11-12 06:00:00+00:00,1.0,0.0
35,20,-1.6666666666666667,75,37,5,2023-11-12 07:00:00+00:00,1.0,0.0
36,20,-1.6666666666666667,75,36,5,2023-11-12 08:00:00+00:00,1.0,0.0
37,20,-1.6666666666666667,76,36,5,2023-11-12 09:00:00+00:00,1.0,0.0
38,20,-1.1111111111111112,78,36,5,2023-11-12 10:00:00+00:00,1.0,0.0
39,21,-1.1111111111111112,80,35,5,2023-11-12 11:00:00+00:00,1.0,0.0
40,22,-1.1111111111111112,83,35,5,2023-11-12 12:00:00+00:00,1.0,0.0
41,23,-0.5555555555555556,84,35,5,2023-11-12 13:00:00+00:00,1.0,0.0
42,21,-0.5555555555555556,82,36,6,2023-11-12 14:00:00+00:00,1.0,0.0
43,20,0.0,78,39,6,2023-11-12 15:00:00+00:00,1.0,0.0
44,18,0.5555555555555556,73,41,6,2023-11-12 16:00:00+00:00,1.0,0.0
45,17,1.1111111111111112,70,43,6,2023-11-12 17:00:00+00:00,0.7071067811865476,-0.7071067811865476
46,18,1.1111111111111112,67,45,5,2023-11-12 18:00:00+00:00,0.7071067811865476,-0.7071067811865476
47,17,1.6666666666666667,65,46,5,2023-11-12 19:00:00+00:00,0.7071067811865476,-0.7071067811865476
48,16,1.6666666666666667,63,47,5,2023-11-12 20:00:00+00:00,0.7071067811865476,-0.7071067811865476
49,16,1.6666666666666667,63,47,5,2023-11-12 21:00:00+00:00,0.7071067811865476,-0.7071067811865476
50,15,2.2222222222222223,65,46,5,2023-11-12 22:00:00+00:00,0.7071067811865476,-0.7071067811865476
51,11,1.6666666666666667,71,44,5,2023-11-12 23:00:00+00:00,1.0,0.0
52,7,1.6666666666666667,79,41,3,2023-11-13 00:00:00+00:00,1.0,0.0
53,3,1.6666666666666667,86,38,3,2023-11-13 01:00:00+00:00,1.0,0.0
54,3,1.1111111111111112,90,37,3,2023-11-13 02:00:00+00:00,1.0,0.0
55,3,1.1111111111111112,92,36,3,2023-11-13 03:00:00+00:00,1.0,0.0
56,3,0.5555555555555556,92,35,5,2023-11-13 04:00:00+00:00,0.7071067811865476,-0.7071067811865476
57,3,0.5555555555555556,92,35,5,2023-11-13 05:00:00+00:00,0.7071067811865476,-0.7071067811865476
58,3,0.0,92,34,5,2023-11-13 06:00:00+00:00,1.0,0.0
59,1,0.0,92,34,3,2023-11-13 07:00:00+00:00,1.0,0.0
60,1,0.0,92,34,1,2023-11-13 08:00:00+00:00,0.7071067811865476,-0.7071067811865476
61,1,0.0,93,34,1,2023-11-13 09:00:00+00:00,-0.7071067811865476,0.7071067811865476
62,1,-0.5555555555555556,94,33,3,2023-11-13 10:00:00+00:00,-0.7071067811865476,0.7071067811865476
63,1,-1.1111111111111112,95,32,3,2023-11-13 11:00:00+00:00,-0.7071067811865476,0.7071067811865476
64,1,-1.1111111111111112,95,31,3,2023-11-13 12:00:00+00:00,-0.7071067811865476,0.7071067811865476
65,1,-1.1111111111111112,91,32,3,2023-11-13 13:00:00+00:00,-0.7071067811865476,0.7071067811865476
66,1,0.0,83,36,3,2023-11-13 14:00:00+00:00,-0.7071067811865476,0.7071067811865476
67,1,1.1111111111111112,73,42,3,2023-11-13 15:00:00+00:00,-0.7071067811865476,0.7071067811865476
68,1,1.6666666666666667,63,47,5,2023-11-13 16:00:00+00:00,-1.0,0.0
69,1,1.6666666666666667,55,50,6,2023-11-13 17:00:00+00:00,-1.0,0.0
70,1,1.1111111111111112,49,53,6,2023-11-13 18:00:00+00:00,-1.0,0.0
71,0,0.5555555555555556,45,54,7,2023-11-13 19:00:00+00:00,-0.7071067811865476,0.7071067811865476
72,0,0.5555555555555556,45,54,7,2023-11-13 20:00:00+00:00,-0.7071067811865476,0.7071067811865476
73,0,1.1111111111111112,47,53,8,2023-11-13 21:00:00+00:00,-0.7071067811865476,0.7071067811865476
74,0,1.1111111111111112,51,51,8,2023-11-13 22:00:00+00:00,-0.7071067811865476,0.7071067811865476
75,0,1.1111111111111112,56,49,8,2023-11-13 23:00:00+00:00,-0.7071067811865476,0.7071067811865476
76,0,0.5555555555555556,62,45,8,2023-11-14 00:00:00+00:00,-0.7071067811865476,0.7071067811865476
77,0,0.5555555555555556,68,43,8,2023-11-14 01:00:00+00:00,-0.7071067811865476,0.7071067811865476
78,0,0.5555555555555556,72,41,8,2023-11-14 02:00:00+00:00,-0.7071067811865476,0.7071067811865476
79,0,0.5555555555555556,73,40,8,2023-11-14 03:00:00+00:00,-0.7071067811865476,0.7071067811865476
80,0,0.0,73,40,9,2023-11-14 04:00:00+00:00,-0.7071067811865476,0.7071067811865476
81,0,0.0,72,40,9,2023-11-14 05:00:00+00:00,-0.7071067811865476,0.7071067811865476
82,0,-0.5555555555555556,71,39,9,2023-11-14 06:00:00+00:00,-0.7071067811865476,0.7071067811865476
83,1,-1.1111111111111112,69,39,9,2023-11-14 07:00:00+00:00,-0.7071067811865476,0.7071067811865476
84,1,-1.6666666666666667,69,38,9,2023-11-14 08:00:00+00:00,-0.7071067811865476,0.7071067811865476
85,1,-2.2222222222222223,69,37,8,2023-11-14 09:00:00+00:00,-0.7071067811865476,0.7071067811865476
86,1,-2.2222222222222223,69,37,8,2023-11-14 10:00:00+00:00,-0.7071067811865476,0.7071067811865476
87,1,-2.7777777777777777,69,36,8,2023-11-14 11:00:00+00:00,-0.7071067811865476,0.7071067811865476
88,1,-3.3333333333333335,69,35,7,2023-11-14 12:00:00+00:00,-0.7071067811865476,0.7071067811865476
89,0,-2.7777777777777777,71,35,7,2023-11-14 13:00:00+00:00,-0.7071067811865476,0.7071067811865476
90,0,-3.3333333333333335,61,39,7,2023-11-14 14:00:00+00:00,0.0,1.0
91,0,-3.3333333333333335,51,43,7,2023-11-14 15:00:00+00:00,0.0,1.0
92,0,-3.3333333333333335,42,47,6,2023-11-14 16:00:00+00:00,0.0,1.0
93,0,-3.888888888888889,36,50,5,2023-11-14 17:00:00+00:00,0.0,1.0
94,0,-4.444444444444445,32,53,5,2023-11-14 18:00:00+00:00,0.7071067811865476,0.7071067811865476
95,0,-5.0,29,55,6,2023-11-14 19:00:00+00:00,0.7071067811865476,0.7071067811865476
96,0,-4.444444444444445,29,56,6,2023-11-14 20:00:00+00:00,0.7071067811865476,0.7071067811865476
97,0,-3.888888888888889,30,56,6,2023-11-14 21:00:00+00:00,0.7071067811865476,0.7071067811865476
98,0,-3.3333333333333335,33,54,6,2023-11-14 22:00:00+00:00,0.7071067811865476,0.7071067811865476
99,0,-2.7777777777777777,38,52,6,2023-11-14 23:00:00+00:00,0.7071067811865476,0.7071067811865476
100,0,-2.7777777777777777,43,49,6,2023-11-15 00:00:00+00:00,0.7071067811865476,0.7071067811865476
101,0,-2.7777777777777777,47,46,6,2023-11-15 01:00:00+00:00,0.7071067811865476,0.7071067811865476
102,0,-3.3333333333333335,49,44,5,2023-11-15 02:00:00+00:00,0.7071067811865476,0.7071067811865476
103,0,-3.3333333333333335,50,43,5,2023-11-15 03:00:00+00:00,1.0,0.0
104,0,-3.888888888888889,50,42,5,2023-11-15 04:00:00+00:00,1.0,0.0
105,0,-4.444444444444445,50,42,5,2023-11-15 05:00:00+00:00,1.0,0.0
106,0,-4.444444444444445,49,41,5,2023-11-15 06:00:00+00:00,1.0,0.0
107,0,-5.0,49,40,6,2023-11-15 07:00:00+00:00,0.7071067811865476,-0.7071067811865476
108,0,-5.0,50,40,6,2023-11-15 08:00:00+00:00,0.7071067811865476,-0.7071067811865476
109,0,-5.555555555555555,50,40,6,2023-11-15 09:00:00+00:00,0.7071067811865476,-0.7071067811865476
110,0,-5.555555555555555,50,39,6,2023-11-15 10:00:00+00:00,0.7071067811865476,-0.7071067811865476
111,0,-5.555555555555555,51,38,6,2023-11-15 11:00:00+00:00,0.7071067811865476,-0.7071067811865476
112,0,-5.555555555555555,53,37,6,2023-11-15 12:00:00+00:00,0.7071067811865476,-0.7071067811865476
113,0,-5.555555555555555,55,37,6,2023-11-15 13:00:00+00:00,0.7071067811865476,-0.7071067811865476
114,0,-4.444444444444445,53,39,6,2023-11-15 14:00:00+00:00,0.7071067811865476,-0.7071067811865476
115,0,-3.3333333333333335,52,42,7,2023-11-15 15:00:00+00:00,0.7071067811865476,-0.7071067811865476
116,0,-2.7777777777777777,49,45,7,2023-11-15 16:00:00+00:00,0.7071067811865476,-0.7071067811865476
117,0,-2.2222222222222223,47,47,8,2023-11-15 17:00:00+00:00,0.7071067811865476,-0.7071067811865476
118,0,-2.2222222222222223,45,49,8,2023-11-15 18:00:00+00:00,0.7071067811865476,-0.7071067811865476
119,0,-1.6666666666666667,44,50,8,2023-11-15 19:00:00+00:00,0.7071067811865476,-0.7071067811865476
120,0,-1.6666666666666667,44,51,8,2023-11-15 20:00:00+00:00,0.7071067811865476,-0.7071067811865476
121,0,-1.1111111111111112,44,51,8,2023-11-15 21:00:00+00:00,0.7071067811865476,-0.7071067811865476
122,0,-1.1111111111111112,46,50,8,2023-11-15 22:00:00+00:00,0.7071067811865476,-0.7071067811865476
123,0,-1.1111111111111112,49,48,7,2023-11-15 23:00:00+00:00,0.7071067811865476,-0.7071067811865476
124,0,-1.1111111111111112,53,46,6,2023-11-16 00:00:00+00:00,0.7071067811865476,-0.7071067811865476
125,19,-1.1111111111111112,56,44,6,2023-11-16 01:00:00+00:00,0.7071067811865476,-0.7071067811865476
126,19,-1.1111111111111112,59,43,6,2023-11-16 02:00:00+00:00,0.7071067811865476,-0.7071067811865476
127,19,-1.1111111111111112,62,42,6,2023-11-16 03:00:00+00:00,0.7071067811865476,-0.7071067811865476
128,19,-0.5555555555555556,64,42,6,2023-11-16 04:00:00+00:00,0.7071067811865476,-0.7071067811865476
129,19,-0.5555555555555556,67,41,7,2023-11-16 05:00:00+00:00,0.7071067811865476,-0.7071067811865476
130,19,0.0,69,41,7,2023-11-16 06:00:00+00:00,0.7071067811865476,-0.7071067811865476
131,33,0.0,72,40,7,2023-11-16 07:00:00+00:00,0.7071067811865476,-0.7071067811865476
132,33,0.5555555555555556,73,41,7,2023-11-16 08:00:00+00:00,0.7071067811865476,-0.7071067811865476
133,33,0.5555555555555556,75,41,7,2023-11-16 09:00:00+00:00,0.7071067811865476,-0.7071067811865476
134,33,1.1111111111111112,76,41,7,2023-11-16 10:00:00+00:00,0.7071067811865476,-0.7071067811865476
135,33,1.1111111111111112,77,40,7,2023-11-16 11:00:00+00:00,0.7071067811865476,-0.7071067811865476
136,33,1.1111111111111112,78,40,7,2023-11-16 12:00:00+00:00,0.7071067811865476,-0.7071067811865476
137,27,1.1111111111111112,79,40,7,2023-11-16 13:00:00+00:00,0.7071067811865476,-0.7071067811865476
138,27,2.2222222222222223,78,42,7,2023-11-16 14:00:00+00:00,0.7071067811865476,-0.7071067811865476
139,27,3.3333333333333335,77,44,8,2023-11-16 15:00:00+00:00,0.7071067811865476,-0.7071067811865476
140,27,4.444444444444445,77,47,8,2023-11-16 16:00:00+00:00,0.7071067811865476,-0.7071067811865476
141,27,5.555555555555555,77,49,9,2023-11-16 17:00:00+00:00,0.7071067811865476,-0.7071067811865476
142,27,6.666666666666667,78,50,9,2023-11-16 18:00:00+00:00,0.7071067811865476,-0.7071067811865476
143,27,7.222222222222222,78,52,9,2023-11-16 19:00:00+00:00,0.7071067811865476,-0.7071067811865476
144,27,7.222222222222222,78,52,9,2023-11-16 20:00:00+00:00,0.7071067811865476,-0.7071067811865476
145,27,7.222222222222222,76,52,9,2023-11-16 21:00:00+00:00,0.7071067811865476,-0.7071067811865476
146,27,7.222222222222222,76,52,9,2023-11-16 22:00:00+00:00,0.7071067811865476,-0.7071067811865476
147,27,6.666666666666667,78,51,9,2023-11-16 23:00:00+00:00,0.7071067811865476,-0.7071067811865476
148,27,6.666666666666667,81,49,9,2023-11-17 00:00:00+00:00,0.7071067811865476,-0.7071067811865476
149,31,6.666666666666667,84,48,9,2023-11-17 01:00:00+00:00,0.7071067811865476,-0.7071067811865476
150,31,6.666666666666667,86,48,9,2023-11-17 02:00:00+00:00,0.7071067811865476,-0.7071067811865476
151,31,6.666666666666667,88,47,9,2023-11-17 03:00:00+00:00,0.7071067811865476,-0.7071067811865476
152,31,7.222222222222222,90,47,8,2023-11-17 04:00:00+00:00,0.7071067811865476,-0.7071067811865476
153,31,7.222222222222222,92,47,8,2023-11-17 05:00:00+00:00,0.7071067811865476,-0.7071067811865476
154,31,7.222222222222222,94,47,8,2023-11-17 06:00:00+00:00,0.7071067811865476,-0.7071067811865476
155,36,7.222222222222222,95,47,8,2023-11-17 07:00:00+00:00,0.7071067811865476,-0.7071067811865476
