,number,name,startTime,endTime,isDaytime,temperature,temperatureUnit,temperatureTrend,probabilityOfPrecipitation,dewpoint,relativeHumidity,windSpeed,windDirection,icon,shortForecast,detailedForecast
0,1,,2023-11-28T05:00:00-05:00,2023-11-28T06:00:00-05:00,False,22,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -8.88888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 77}",26 mph,NW,"https://api.weather.gov/icons/land/night/wind_few,1?size=small",Mostly Clear,
1,2,,2023-11-28T06:00:00-05:00,2023-11-28T07:00:00-05:00,True,22,F,,"{'unitCode': 'wmoUnit:percent', 'value': 3}","{'unitCode': 'wmoUnit:degC', 'value': -8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 79}",29 mph,NW,"https://api.weather.gov/icons/land/day/wind_sct,3?size=small",Mostly Sunny,
2,3,,2023-11-28T07:00:00-05:00,2023-11-28T08:00:00-05:00,True,21,F,,"{'unitCode': 'wmoUnit:percent', 'value': 10}","{'unitCode': 'wmoUnit:degC', 'value': -8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 87}",31 mph,NW,"https://api.weather.gov/icons/land/day/snow,10?size=small",Isolated Snow Showers,
3,4,,2023-11-28T08:00:00-05:00,2023-11-28T09:00:00-05:00,True,21,F,,"{'unitCode': 'wmoUnit:percent', 'value': 16}","{'unitCode': 'wmoUnit:degC', 'value': -8.88888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 82}",32 mph,NW,"https://api.weather.gov/icons/land/day/snow,16?size=small",Isolated Snow Showers,
4,5,,2023-11-28T09:00:00-05:00,2023-11-28T10:00:00-05:00,True,22,F,,"{'unitCode': 'wmoUnit:percent', 'value': 5}","{'unitCode': 'wmoUnit:degC', 'value': -9.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 74}",32 mph,NW,"https://api.weather.gov/icons/land/day/wind_sct,5?size=small",Mostly Sunny,
5,6,,2023-11-28T10:00:00-05:00,2023-11-28T11:00:00-05:00,True,24,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -9.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 69}",32 mph,NW,"https://api.weather.gov/icons/land/day/wind_sct,1?size=small",Mostly Sunny,
6,7,,2023-11-28T11:00:00-05:00,2023-11-28T12:00:00-05:00,True,26,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -10}","{'unitCode': 'wmoUnit:percent', 'value': 59}",30 mph,NW,"https://api.weather.gov/icons/land/day/wind_few,0?size=small",Sunny,
7,8,,2023-11-28T12:00:00-05:00,2023-11-28T13:00:00-05:00,True,28,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -11.11111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 52}",29 mph,NW,"https://api.weather.gov/icons/land/day/wind_few,0?size=small",Sunny,
8,9,,2023-11-28T13:00:00-05:00,2023-11-28T14:00:00-05:00,True,28,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -12.222222222222221}","{'unitCode': 'wmoUnit:percent', 'value': 45}",28 mph,NW,"https://api.weather.gov/icons/land/day/wind_skc,0?size=small",Sunny,
9,10,,2023-11-28T14:00:00-05:00,2023-11-28T15:00:00-05:00,True,30,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -12.777777777777779}","{'unitCode': 'wmoUnit:percent', 'value': 41}",25 mph,NW,"https://api.weather.gov/icons/land/day/wind_skc,0?size=small",Sunny,
10,11,,2023-11-28T15:00:00-05:00,2023-11-28T16:00:00-05:00,True,29,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -13.88888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 39}",23 mph,NW,"https://api.weather.gov/icons/land/day/wind_skc,0?size=small",Sunny,
11,12,,2023-11-28T16:00:00-05:00,2023-11-28T17:00:00-05:00,True,28,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -14.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 40}",21 mph,NW,"https://api.weather.gov/icons/land/day/wind_skc,0?size=small",Sunny,
12,13,,2023-11-28T17:00:00-05:00,2023-11-28T18:00:00-05:00,True,26,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -14.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 42}",18 mph,NW,"https://api.weather.gov/icons/land/day/skc,0?size=small",Sunny,
13,14,,2023-11-28T18:00:00-05:00,2023-11-28T19:00:00-05:00,False,23,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -14.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 48}",15 mph,NW,"https://api.weather.gov/icons/land/night/skc,0?size=small",Clear,
14,15,,2023-11-28T19:00:00-05:00,2023-11-28T20:00:00-05:00,False,21,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -14.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 50}",17 mph,NW,"https://api.weather.gov/icons/land/night/skc,0?size=small",Clear,
