,windDirection,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp
0,NW,2,9.444444444444445,88,52,6,2023-11-08 06:00:00+00:00
1,NW,2,9.444444444444445,91,52,6,2023-11-08 07:00:00+00:00
2,NW,2,9.444444444444445,92,51,5,2023-11-08 08:00:00+00:00
3,W,2,9.444444444444445,94,51,5,2023-11-08 09:00:00+00:00
4,W,1,9.444444444444445,94,50,5,2023-11-08 10:00:00+00:00
5,W,1,9.444444444444445,97,49,5,2023-11-08 11:00:00+00:00
6,W,1,9.444444444444445,100,49,5,2023-11-08 12:00:00+00:00
7,W,0,9.444444444444445,99,49,5,2023-11-08 13:00:00+00:00
8,W,0,8.333333333333334,80,53,5,2023-11-08 14:00:00+00:00
9,W,0,9.444444444444445,72,57,6,2023-11-08 15:00:00+00:00
10,SW,0,10.0,65,61,7,2023-11-08 16:00:00+00:00
11,SW,0,9.444444444444445,59,64,7,2023-11-08 17:00:00+00:00
