,windDirection,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp
0,W,4,3.888888888888889,89,42,24,2023-10-21 10:00:00+00:00
1,NW,4,3.3333333333333335,88,41,24,2023-10-21 11:00:00+00:00
2,NW,3,2.7777777777777777,87,41,25,2023-10-21 12:00:00+00:00
3,NW,3,2.2222222222222223,83,41,25,2023-10-21 13:00:00+00:00
4,NW,2,2.2222222222222223,74,44,25,2023-10-21 14:00:00+00:00
5,NW,1,2.2222222222222223,67,46,25,2023-10-21 15:00:00+00:00
6,NW,0,2.7777777777777777,64,49,25,2023-10-21 16:00:00+00:00
7,NW,0,3.3333333333333335,62,51,24,2023-10-21 17:00:00+00:00
8,NW,0,3.888888888888889,60,53,24,2023-10-21 18:00:00+00:00
9,NW,0,3.888888888888889,57,54,23,2023-10-21 19:00:00+00:00
10,W,0,4.444444444444445,56,55,21,2023-10-21 20:00:00+00:00
11,W,0,4.444444444444445,55,56,18,2023-10-21 21:00:00+00:00
