,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp,windDirection_x,windDirection_y,windSpeed_knots
0,82,10.0,92,52,5,2023-11-10 15:00:00+00:00,1.0,0.0,4
1,81,9.444444444444445,90,52,5,2023-11-10 16:00:00+00:00,0.7071067811865476,0.7071067811865476,4
2,61,8.88888888888889,93,50,5,2023-11-10 17:00:00+00:00,0.0,1.0,4
3,61,8.88888888888889,93,49,6,2023-11-10 18:00:00+00:00,0.0,1.0,5
4,53,8.333333333333334,94,49,6,2023-11-10 19:00:00+00:00,0.0,1.0,5
5,45,7.777777777777778,94,48,6,2023-11-10 20:00:00+00:00,0.0,1.0,5
6,38,7.777777777777778,93,48,6,2023-11-10 21:00:00+00:00,0.0,1.0,5
7,21,7.222222222222222,93,47,5,2023-11-10 22:00:00+00:00,0.0,1.0,4
8,26,7.222222222222222,93,47,5,2023-11-10 23:00:00+00:00,0.0,1.0,4
9,13,6.666666666666667,95,46,5,2023-11-11 00:00:00+00:00,0.0,1.0,4
10,12,6.666666666666667,95,45,6,2023-11-11 01:00:00+00:00,-0.7071067811865476,0.7071067811865476,5
11,11,6.111111111111111,97,44,6,2023-11-11 02:00:00+00:00,-0.7071067811865476,0.7071067811865476,5
12,10,5.555555555555555,98,42,5,2023-11-11 03:00:00+00:00,-0.7071067811865476,0.7071067811865476,4
13,9,5.0,99,41,5,2023-11-11 04:00:00+00:00,-0.7071067811865476,0.7071067811865476,4
14,8,4.444444444444445,98,41,6,2023-11-11 05:00:00+00:00,-0.7071067811865476,0.7071067811865476,5
15,7,3.888888888888889,97,40,6,2023-11-11 06:00:00+00:00,-0.7071067811865476,0.7071067811865476,5
16,6,3.888888888888889,96,40,6,2023-11-11 07:00:00+00:00,-0.7071067811865476,0.7071067811865476,5
17,5,3.3333333333333335,97,39,6,2023-11-11 08:00:00+00:00,-0.7071067811865476,0.7071067811865476,5
18,4,2.7777777777777777,97,38,5,2023-11-11 09:00:00+00:00,-0.7071067811865476,0.7071067811865476,4
19,3,2.2222222222222223,96,37,5,2023-11-11 10:00:00+00:00,-0.7071067811865476,0.7071067811865476,4
20,4,1.1111111111111112,93,36,5,2023-11-11 11:00:00+00:00,-0.7071067811865476,0.7071067811865476,4
21,4,0.5555555555555556,89,36,5,2023-11-11 12:00:00+00:00,-0.7071067811865476,0.7071067811865476,4
22,0,0.0,88,36,6,2023-11-11 13:00:00+00:00,-0.7071067811865476,0.7071067811865476,5
23,0,1.1111111111111112,92,36,6,2023-11-11 14:00:00+00:00,0.0,1.0,5
24,0,1.1111111111111112,83,39,7,2023-11-11 15:00:00+00:00,-0.7071067811865476,0.7071067811865476,6
25,0,1.1111111111111112,66,44,7,2023-11-11 16:00:00+00:00,-0.7071067811865476,0.7071067811865476,6
26,0,0.5555555555555556,58,47,7,2023-11-11 17:00:00+00:00,-0.7071067811865476,0.7071067811865476,6
27,0,0.0,52,49,6,2023-11-11 18:00:00+00:00,-0.7071067811865476,0.7071067811865476,5
28,6,-0.5555555555555556,48,50,6,2023-11-11 19:00:00+00:00,-0.7071067811865476,0.7071067811865476,5
