,windDirection,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp
0,W,1,-7.777777777777778,19,59,7,2023-11-04 19:00:00+00:00
1,W,1,-7.777777777777778,20,60,7,2023-11-04 20:00:00+00:00
2,W,1,-6.666666666666667,21,60,6,2023-11-04 21:00:00+00:00
3,W,1,-6.666666666666667,23,58,5,2023-11-04 22:00:00+00:00
4,W,1,-6.111111111111111,27,55,5,2023-11-04 23:00:00+00:00
5,W,1,-5.0,36,49,5,2023-11-05 00:00:00+00:00
6,W,1,-4.444444444444445,43,45,3,2023-11-05 01:00:00+00:00
7,W,1,-2.7777777777777777,51,43,5,2023-11-05 02:00:00+00:00
8,W,1,-2.7777777777777777,53,43,5,2023-11-05 03:00:00+00:00
9,W,1,-3.3333333333333335,53,42,6,2023-11-05 04:00:00+00:00
10,NW,2,-3.888888888888889,50,42,7,2023-11-05 05:00:00+00:00
11,NW,2,-3.888888888888889,53,41,8,2023-11-05 06:00:00+00:00
