,number,name,startTime,endTime,isDaytime,temperature,temperatureUnit,temperatureTrend,probabilityOfPrecipitation,dewpoint,relativeHumidity,windSpeed,windDirection,icon,shortForecast,detailedForecast
0,1,,2024-01-02T07:00:00-05:00,2024-01-02T08:00:00-05:00,True,25,F,,"{'unitCode': 'wmoUnit:percent', 'value': 5}","{'unitCode': 'wmoUnit:degC', 'value': -5.555555555555555}","{'unitCode': 'wmoUnit:percent', 'value': 88}",16 mph,NW,"https://api.weather.gov/icons/land/day/bkn,5?size=small",Partly Sunny,
1,2,,2024-01-02T08:00:00-05:00,2024-01-02T09:00:00-05:00,True,22,F,,"{'unitCode': 'wmoUnit:percent', 'value': 2}","{'unitCode': 'wmoUnit:degC', 'value': -6.111111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 97}",15 mph,NW,"https://api.weather.gov/icons/land/day/sct,2?size=small",Mostly Sunny,
2,3,,2024-01-02T09:00:00-05:00,2024-01-02T10:00:00-05:00,True,26,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -5.555555555555555}","{'unitCode': 'wmoUnit:percent', 'value': 84}",15 mph,NW,"https://api.weather.gov/icons/land/day/sct,0?size=small",Mostly Sunny,
3,4,,2024-01-02T10:00:00-05:00,2024-01-02T11:00:00-05:00,True,29,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -5.555555555555555}","{'unitCode': 'wmoUnit:percent', 'value': 74}",14 mph,NW,"https://api.weather.gov/icons/land/day/sct,0?size=small",Mostly Sunny,
4,5,,2024-01-02T11:00:00-05:00,2024-01-02T12:00:00-05:00,True,31,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -5.555555555555555}","{'unitCode': 'wmoUnit:percent', 'value': 68}",13 mph,NW,"https://api.weather.gov/icons/land/day/few,0?size=small",Sunny,
5,6,,2024-01-02T12:00:00-05:00,2024-01-02T13:00:00-05:00,True,32,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -6.111111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 63}",12 mph,NW,"https://api.weather.gov/icons/land/day/few,0?size=small",Sunny,
6,7,,2024-01-02T13:00:00-05:00,2024-01-02T14:00:00-05:00,True,34,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -6.111111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 58}",9 mph,NW,"https://api.weather.gov/icons/land/day/skc,0?size=small",Sunny,
7,8,,2024-01-02T14:00:00-05:00,2024-01-02T15:00:00-05:00,True,35,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -6.111111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 55}",9 mph,NW,"https://api.weather.gov/icons/land/day/skc,0?size=small",Sunny,
8,9,,2024-01-02T15:00:00-05:00,2024-01-02T16:00:00-05:00,True,37,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -6.111111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 52}",8 mph,W,"https://api.weather.gov/icons/land/day/skc,0?size=small",Sunny,
9,10,,2024-01-02T16:00:00-05:00,2024-01-02T17:00:00-05:00,True,37,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -6.111111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 51}",8 mph,W,"https://api.weather.gov/icons/land/day/skc,0?size=small",Sunny,
10,11,,2024-01-02T17:00:00-05:00,2024-01-02T18:00:00-05:00,True,36,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -6.111111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 54}",8 mph,W,"https://api.weather.gov/icons/land/day/skc,0?size=small",Sunny,
11,12,,2024-01-02T18:00:00-05:00,2024-01-02T19:00:00-05:00,False,34,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -6.111111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 57}",8 mph,W,"https://api.weather.gov/icons/land/night/skc,0?size=small",Clear,
12,13,,2024-01-02T19:00:00-05:00,2024-01-02T20:00:00-05:00,False,32,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -6.111111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 62}",7 mph,W,"https://api.weather.gov/icons/land/night/few,0?size=small",Mostly Clear,
13,14,,2024-01-02T20:00:00-05:00,2024-01-02T21:00:00-05:00,False,32,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -6.111111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 64}",6 mph,W,"https://api.weather.gov/icons/land/night/few,0?size=small",Mostly Clear,
