,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp,windDirection_x,windDirection_y,windSpeed_knots
0,0,-2.2222222222222223,34,56,5,2023-10-23 17:00:00+00:00,0.0,-1.0,4
1,0,-1.6666666666666667,31,59,5,2023-10-23 18:00:00+00:00,0.0,-1.0,4
2,0,-1.1111111111111112,30,62,5,2023-10-23 19:00:00+00:00,0.0,-1.0,4
3,0,-0.5555555555555556,30,62,5,2023-10-23 20:00:00+00:00,0.0,-1.0,4
4,0,-0.5555555555555556,31,62,5,2023-10-23 21:00:00+00:00,0.0,-1.0,4
5,0,0.0,34,60,6,2023-10-23 22:00:00+00:00,0.0,-1.0,5
6,0,0.5555555555555556,40,57,5,2023-10-23 23:00:00+00:00,0.0,-1.0,4
7,0,1.1111111111111112,47,54,5,2023-10-24 00:00:00+00:00,0.0,-1.0,4
8,0,1.6666666666666667,56,50,3,2023-10-24 01:00:00+00:00,0.0,-1.0,3
9,0,2.2222222222222223,64,47,2,2023-10-24 02:00:00+00:00,0.0,-1.0,2
10,0,2.2222222222222223,71,44,1,2023-10-24 03:00:00+00:00,0.7071067811865476,-0.7071067811865476,1
11,0,2.2222222222222223,77,42,0,2023-10-24 04:00:00+00:00,0.7071067811865476,-0.7071067811865476,0
12,0,1.6666666666666667,79,41,0,2023-10-24 05:00:00+00:00,0.7071067811865476,-0.7071067811865476,0
13,0,1.6666666666666667,79,41,0,2023-10-24 06:00:00+00:00,0.7071067811865476,-0.7071067811865476,0
14,0,1.1111111111111112,78,40,0,2023-10-24 07:00:00+00:00,0.7071067811865476,-0.7071067811865476,0
15,0,1.1111111111111112,78,40,1,2023-10-24 08:00:00+00:00,0.7071067811865476,-0.7071067811865476,1
16,0,0.5555555555555556,79,40,2,2023-10-24 09:00:00+00:00,1.0,0.0,2
17,0,0.5555555555555556,78,39,3,2023-10-24 10:00:00+00:00,1.0,0.0,3
18,0,0.0,76,39,3,2023-10-24 11:00:00+00:00,1.0,0.0,3
19,0,0.0,75,39,3,2023-10-24 12:00:00+00:00,0.7071067811865476,-0.7071067811865476,3
20,0,-0.5555555555555556,72,39,2,2023-10-24 13:00:00+00:00,-0.7071067811865476,-0.7071067811865476,2
21,0,-0.5555555555555556,65,42,3,2023-10-24 14:00:00+00:00,0.0,-1.0,3
22,0,0.5555555555555556,54,49,5,2023-10-24 15:00:00+00:00,0.0,-1.0,4
